Scheme	Time (s)	Delay (ms)
bbr	3.836618	111.08
bbr	3.837784	110.55
bbr	3.840838	113.58
bbr	3.840911	112.55
bbr	3.841944	113.56
bbr	3.844120	112.27
bbr	3.845304	113.42
bbr	3.847429	113.49
bbr	3.849583	115.62
bbr	3.852209	114.06
bbr	3.852245	114.07
bbr	3.854436	104.55
bbr	3.864377	114.45
bbr	3.869574	118.93
bbr	3.869614	118.94
bbr	3.869662	117.61
bbr	3.869681	117.59
bbr	3.871659	118.17
bbr	3.873855	120.32
bbr	3.876091	108.81
bbr	3.879041	111.72
bbr	3.881213	113.20
bbr	3.882324	114.29
bbr	3.885375	115.92
bbr	3.887722	118.23
bbr	3.888886	97.73
bbr	3.890387	99.18
bbr	3.892421	100.53
bbr	3.894559	102.64
bbr	3.896781	103.41
bbr	3.905650	112.23
bbr	3.905711	110.92
bbr	3.905729	110.91
bbr	3.906874	110.63
bbr	3.907975	111.70
bbr	3.909266	111.63
bbr	3.911247	113.58
bbr	3.912325	113.20
bbr	3.914459	115.31
bbr	3.916608	102.97
bbr	3.918717	105.02
bbr	3.920883	107.17
bbr	3.921535	107.11
bbr	3.924254	109.79
bbr	3.925451	109.55
bbr	3.926428	106.84
bbr	3.929776	110.15
bbr	3.929837	108.08
bbr	3.931943	110.16
bbr	3.932844	108.60
bbr	3.941410	117.14
bbr	3.941468	115.09
bbr	3.941483	115.08
bbr	3.941493	109.48
bbr	3.941529	109.48
bbr	3.943529	110.24
bbr	3.943568	110.26
bbr	3.946075	110.63
bbr	3.946102	110.64
bbr	3.948100	108.92
bbr	3.949236	110.01
bbr	3.951295	109.13
bbr	3.952551	110.36
bbr	3.953782	110.88
bbr	3.955817	112.88
bbr	3.957961	113.69
bbr	3.958062	113.75
bbr	3.958075	110.36
bbr	3.963572	115.83
bbr	3.963611	113.79
bbr	3.963649	113.80
bbr	3.964750	111.10
bbr	3.968892	115.22
bbr	3.968960	114.56
bbr	3.970070	115.65
bbr	3.971183	115.47
bbr	3.972260	116.52
bbr	3.974465	107.33
bbr	3.975704	108.53
bbr	3.977401	99.23
bbr	3.979643	101.44
bbr	3.980874	91.81
bbr	3.982071	92.97
bbr	3.983225	83.16
bbr	3.985379	85.24
bbr	3.986411	75.37
bbr	3.988225	77.16
bbr	3.991485	69.65
bbr	3.991599	69.73
bbr	3.992973	60.26
bbr	3.995134	62.39
bbr	3.995215	51.59
bbr	3.997167	53.51
bbr	3.999268	44.75
bbr	4.000398	45.82
bbr	4.002954	37.57
bbr	4.003062	37.64
bbr	4.004144	27.95
bbr	4.005240	29.01
bbr	4.008647	21.75
bbr	4.009720	22.80
bbr	4.011843	21.29
bbr	4.021876	31.28
bbr	4.022996	28.77
bbr	4.024223	29.97
bbr	4.024292	26.41
bbr	4.024318	26.39
bbr	4.024338	22.77
bbr	4.027317	25.72
bbr	4.027344	22.23
