Scheme	Time (s)	Delay (ms)
bbr	3.124380	1.37
bbr	3.126444	0.63
bbr	3.127625	1.55
bbr	3.128748	2.61
bbr	3.129161	3.00
bbr	3.130472	4.28
bbr	3.131965	5.75
bbr	3.133114	6.88
bbr	3.133210	6.91
bbr	3.134759	8.43
bbr	3.135928	9.57
bbr	3.137056	10.67
bbr	3.137161	8.16
bbr	3.138211	9.18
bbr	3.139941	9.28
bbr	3.141070	10.37
bbr	3.141175	10.45
bbr	3.142237	11.48
bbr	3.143147	9.75
bbr	3.144250	10.81
bbr	3.145379	11.92
bbr	3.146511	13.02
bbr	3.147100	12.57
bbr	3.148227	13.62
bbr	3.149354	10.85
bbr	3.150486	11.92
bbr	3.151973	13.38
bbr	3.153109	14.49
bbr	3.153284	14.63
bbr	3.154306	15.63
bbr	3.155892	17.18
bbr	3.157020	18.28
bbr	3.158157	15.62
bbr	3.158309	15.70
bbr	3.159986	17.34
bbr	3.161118	18.44
bbr	3.161219	18.52
bbr	3.162309	19.58
bbr	3.163855	21.10
bbr	3.164983	22.20
bbr	3.166127	23.17
bbr	3.166232	23.23
bbr	3.167821	21.07
bbr	3.168949	22.15
bbr	3.170090	23.26
bbr	3.170197	23.34
bbr	3.171771	24.88
bbr	3.172899	25.98
bbr	3.174033	27.09
bbr	3.174145	27.17
bbr	3.175679	24.97
bbr	3.176817	26.07
bbr	3.177951	27.18
bbr	3.179093	28.29
bbr	3.179197	28.37
bbr	3.180784	29.93
bbr	3.181912	31.01
bbr	3.183045	32.12
bbr	3.183154	31.33
bbr	3.184717	30.16
bbr	3.185844	31.23
bbr	3.186988	32.35
bbr	3.187416	32.75
bbr	3.188576	33.88
bbr	3.190052	31.53
bbr	3.190142	31.58
bbr	3.191204	32.62
bbr	3.192758	34.15
bbr	3.193886	35.25
bbr	3.195017	36.36
bbr	3.195345	36.66
bbr	3.196633	37.92
bbr	3.197703	35.17
bbr	3.198779	36.18
bbr	3.199179	36.55
bbr	3.200528	37.87
bbr	3.201605	35.09
bbr	3.202722	36.16
bbr	3.203081	36.50
bbr	3.204369	37.76
bbr	3.205431	34.95
bbr	3.206514	36.00
bbr	3.208113	37.57
bbr	3.208259	37.69
bbr	3.209249	34.87
bbr	3.210393	35.98
bbr	3.211969	37.53
bbr	3.213103	38.64
bbr	3.213272	33.87
bbr	3.214275	34.84
bbr	3.215863	36.40
bbr	3.216990	37.50
bbr	3.218132	38.62
bbr	3.218364	35.01
bbr	3.219270	35.88
bbr	3.220782	37.31
bbr	3.221908	38.40
bbr	3.223045	35.80
