Scheme	Traffic	Time (s)	Throughput (Mbit/s)
eagle-v3	egress	3.45	0.00
eagle-v3	egress	3.60	0.08
eagle-v3	egress	3.75	0.16
eagle-v3	egress	3.90	0.32
eagle-v3	egress	4.05	1.28
eagle-v3	egress	4.20	1.36
eagle-v3	egress	4.35	0.80
eagle-v3	egress	4.50	0.72
eagle-v3	egress	4.65	0.56
eagle-v3	egress	4.80	0.40
eagle-v3	egress	4.95	0.56
eagle-v3	egress	5.10	0.72
eagle-v3	egress	5.25	0.80
eagle-v3	egress	5.40	1.28
eagle-v3	egress	5.55	1.36
eagle-v3	egress	5.70	2.88
eagle-v3	egress	5.85	5.44
eagle-v3	egress	6.00	3.52
eagle-v3	egress	6.15	3.12
eagle-v3	egress	6.30	2.16
eagle-v3	egress	6.45	2.72
eagle-v3	egress	6.60	4.24
eagle-v3	egress	6.75	9.12
eagle-v3	egress	6.90	9.52
eagle-v3	egress	7.05	9.52
eagle-v3	egress	7.20	6.48
eagle-v3	egress	7.35	4.48
eagle-v3	egress	7.50	1.36
eagle-v3	egress	7.65	1.12
eagle-v3	egress	7.80	2.40
eagle-v3	egress	7.95	2.48
eagle-v3	egress	8.10	6.96
eagle-v3	egress	8.25	2.96
eagle-v3	egress	8.40	2.80
eagle-v3	egress	8.55	6.40
eagle-v3	egress	8.70	6.08
eagle-v3	egress	8.85	8.72
eagle-v3	egress	9.00	6.80
eagle-v3	egress	9.15	9.12
eagle-v3	egress	9.30	9.52
eagle-v3	egress	9.45	8.96
eagle-v3	egress	9.60	9.52
eagle-v3	egress	9.75	9.44
eagle-v3	egress	9.90	4.96
eagle-v3	egress	10.05	2.48
eagle-v3	egress	10.20	2.48
eagle-v3	egress	10.35	0.72
eagle-v3	egress	10.50	0.56
eagle-v3	egress	10.65	0.24
eagle-v3	egress	10.80	0.24
eagle-v3	egress	10.95	0.16
eagle-v3	egress	11.10	0.16
eagle-v3	egress	11.25	0.40
eagle-v3	egress	11.40	1.36
eagle-v3	egress	11.55	0.88
eagle-v3	egress	11.70	0.72
eagle-v3	egress	11.85	0.72
eagle-v3	egress	12.00	0.88
eagle-v3	egress	12.15	1.12
eagle-v3	egress	12.30	0.96
eagle-v3	egress	12.45	0.96
eagle-v3	egress	12.60	1.20
eagle-v3	egress	12.75	1.04
eagle-v3	egress	12.90	4.16
eagle-v3	egress	13.05	9.52
eagle-v3	egress	13.20	9.68
eagle-v3	egress	13.35	9.44
eagle-v3	egress	13.50	9.20
eagle-v3	egress	13.65	9.84
eagle-v3	egress	13.80	9.52
eagle-v3	egress	13.95	9.68
eagle-v3	egress	14.10	9.20
eagle-v3	egress	14.25	9.52
eagle-v3	egress	14.40	9.60
eagle-v3	egress	14.55	9.28
eagle-v3	egress	14.70	9.60
eagle-v3	egress	14.85	9.60
eagle-v3	egress	15.00	9.60
eagle-v3	egress	15.15	9.76
eagle-v3	egress	15.30	9.60
eagle-v3	egress	15.45	9.68
eagle-v3	egress	15.60	9.28
eagle-v3	egress	15.75	9.12
eagle-v3	egress	15.90	9.44
eagle-v3	egress	16.05	9.52
eagle-v3	egress	16.20	8.88
eagle-v3	egress	16.35	9.44
eagle-v3	egress	16.50	9.20
eagle-v3	egress	16.65	9.60
eagle-v3	egress	16.80	9.36
eagle-v3	egress	16.95	9.68
eagle-v3	egress	17.10	9.44
eagle-v3	egress	17.25	9.60
eagle-v3	egress	17.40	9.52
eagle-v3	egress	17.55	9.60
eagle-v3	egress	17.70	9.60
eagle-v3	egress	17.85	9.52
eagle-v3	egress	18.00	9.52
eagle-v3	egress	18.15	9.36
eagle-v3	egress	18.30	9.60
eagle-v3	egress	18.45	9.68
eagle-v3	egress	18.60	9.60
eagle-v3	egress	18.75	9.20
