Scheme	Time (s)	Delay (ms)
bbr	3.132597	1.21
bbr	3.134058	0.22
bbr	3.135141	1.23
bbr	3.136211	2.29
bbr	3.137456	3.52
bbr	3.138532	4.58
bbr	3.139609	5.65
bbr	3.140828	6.86
bbr	3.141912	7.93
bbr	3.142999	9.01
bbr	3.144091	10.09
bbr	3.144122	10.11
bbr	3.145392	9.06
bbr	3.146615	10.27
bbr	3.147702	7.99
bbr	3.148793	9.07
bbr	3.150086	10.35
bbr	3.150132	10.39
bbr	3.151198	11.44
bbr	3.152558	12.79
bbr	3.153699	12.93
bbr	3.154773	13.99
bbr	3.155881	11.70
bbr	3.156986	12.78
bbr	3.157281	13.07
bbr	3.158417	14.19
bbr	3.159756	15.51
bbr	3.160861	16.48
bbr	3.161086	15.79
bbr	3.162282	16.95
bbr	3.163402	17.95
bbr	3.164522	19.05
bbr	3.166104	17.23
bbr	3.166192	17.29
bbr	3.167243	18.33
bbr	3.168694	19.77
bbr	3.169870	20.93
bbr	3.170962	22.01
bbr	3.172057	20.73
bbr	3.172163	20.79
bbr	3.173631	22.24
bbr	3.174768	23.36
bbr	3.175905	23.49
bbr	3.177039	24.59
bbr	3.177151	24.69
bbr	3.178645	26.16
bbr	3.179732	22.62
bbr	3.180827	23.69
bbr	3.181153	24.00
bbr	3.182328	25.15
bbr	3.183456	26.27
bbr	3.184582	27.36
bbr	3.186065	28.83
bbr	3.186162	28.91
bbr	3.187239	28.70
bbr	3.188621	30.06
bbr	3.189773	31.19
bbr	3.190901	32.30
bbr	3.192032	31.07
bbr	3.192393	31.40
bbr	3.193539	32.53
bbr	3.194969	33.95
bbr	3.196066	31.35
bbr	3.196181	31.43
bbr	3.197648	32.87
bbr	3.198771	33.97
bbr	3.199907	35.08
bbr	3.201034	36.19
bbr	3.201372	36.50
bbr	3.202662	37.76
bbr	3.203678	36.24
bbr	3.204765	37.28
bbr	3.205108	37.59
bbr	3.206239	38.70
bbr	3.207369	38.85
bbr	3.208500	39.95
bbr	3.209963	41.38
bbr	3.211096	38.74
bbr	3.211211	38.81
bbr	3.212242	39.82
bbr	3.213730	36.44
bbr	3.214855	37.53
bbr	3.215981	38.63
bbr	3.217134	39.76
bbr	3.217237	39.83
bbr	3.218620	37.62
bbr	3.219744	38.70
bbr	3.220876	39.81
bbr	3.221999	40.91
bbr	3.222316	37.56
bbr	3.223506	38.71
bbr	3.224618	39.80
bbr	3.225744	40.90
bbr	3.226077	37.59
bbr	3.227225	38.70
bbr	3.228392	39.84
bbr	3.229516	40.94
bbr	3.231007	38.81
bbr	3.232141	39.91
bbr	3.232199	39.90
bbr	3.233647	39.95
bbr	3.234771	38.41
bbr	3.235898	39.49
bbr	3.237038	40.61
bbr	3.237137	35.93
bbr	3.238192	36.95
bbr	3.239743	38.48
bbr	3.240868	39.57
bbr	3.241993	40.67
bbr	3.242301	37.35
bbr	3.243470	38.47
bbr	3.244599	39.58
bbr	3.245729	40.68
bbr	3.246863	38.19
bbr	3.247991	39.28
bbr	3.249132	40.40
bbr	3.249226	40.47
bbr	3.250263	37.82
bbr	3.251395	38.88
bbr	3.252518	39.98
bbr	3.253644	36.27
bbr	3.254783	37.37
bbr	3.255914	38.48
bbr	3.257104	39.64
bbr	3.257197	39.71
bbr	3.258236	39.77
bbr	3.259367	37.20
bbr	3.260496	38.29
bbr	3.261618	39.39
bbr	3.262745	40.49
bbr	3.263874	38.00
bbr	3.264997	39.08
bbr	3.266133	40.19
bbr	3.266254	40.29
bbr	3.267291	37.63
bbr	3.268396	38.69
bbr	3.269522	39.79
bbr	3.270650	40.89
bbr	3.271774	39.39
bbr	3.273169	40.75
bbr	3.273283	34.93
bbr	3.274353	35.96
bbr	3.276046	37.63
bbr	3.276098	37.65
bbr	3.277204	38.73
bbr	3.278332	39.83
bbr	3.279455	37.31
bbr	3.280610	38.43
bbr	3.281734	39.53
bbr	3.282862	40.63
bbr	3.283990	12.09
bbr	3.285137	13.20
bbr	3.285238	10.48
bbr	3.286236	11.43
bbr	3.287364	6.94
bbr	3.288162	7.69
bbr	3.289288	3.23
bbr	3.290829	4.72
bbr	3.291291	3.29
bbr	3.292403	4.36
bbr	3.293933	4.38
bbr	3.295060	5.46
bbr	3.295153	4.05
bbr	3.296528	5.38
bbr	3.297654	4.99
bbr	3.299097	6.38
bbr	3.299201	3.94
bbr	3.301101	5.79
bbr	3.301200	3.36
bbr	3.302998	5.12
bbr	3.303902	4.12
bbr	3.304995	5.16
bbr	3.305766	5.91
bbr	3.306893	7.01
bbr	3.307720	5.99
bbr	3.308844	7.07
bbr	3.309660	6.00
bbr	3.310785	7.06
bbr	3.311614	6.01
bbr	3.312736	7.09
bbr	3.313582	6.04
bbr	3.314714	7.12
bbr	3.315474	5.98
bbr	3.316605	7.06
bbr	3.317425	5.99
bbr	3.318551	7.06
bbr	3.319384	6.02
bbr	3.320506	7.09
bbr	3.321342	6.04
bbr	3.322432	7.08
bbr	3.323952	6.70
bbr	3.324454	7.15
bbr	3.325584	6.38
bbr	3.326713	7.46
bbr	3.328196	7.06
bbr	3.328241	7.06
bbr	3.329280	6.59
bbr	3.330688	7.95
bbr	3.331543	7.30
bbr	3.332667	8.33
bbr	3.333495	6.67
bbr	3.334621	7.71
bbr	3.335413	5.98
bbr	3.336553	7.08
bbr	3.337379	6.02
bbr	3.338508	7.10
bbr	3.339311	6.00
bbr	3.340437	7.08
bbr	3.341238	6.00
bbr	3.342363	7.08
bbr	3.343206	6.03
bbr	3.344337	7.11
bbr	3.345109	5.99
bbr	3.346235	7.07
bbr	3.348164	7.09
bbr	3.348211	7.09
bbr	3.350122	7.11
bbr	3.350175	7.11
bbr	3.352048	7.11
bbr	3.352101	7.11
bbr	3.354014	7.13
bbr	3.354435	7.51
bbr	3.355560	6.72
bbr	3.357074	8.19
bbr	3.357217	6.45
bbr	3.358257	7.44
bbr	3.359705	6.99
bbr	3.360801	8.04
bbr	3.361179	6.91
bbr	3.362307	7.99
bbr	3.363113	7.30
bbr	3.364240	8.39
bbr	3.366151	7.74
bbr	3.366200	7.75
bbr	3.368092	7.09
bbr	3.368140	7.09
bbr	3.370033	7.10
bbr	3.370088	7.10
bbr	3.371970	7.10
bbr	3.372825	7.90
bbr	3.373948	7.14
bbr	3.374751	7.89
bbr	3.375877	7.11
bbr	3.376749	7.93
bbr	3.377823	7.12
bbr	3.378627	7.88
bbr	3.379754	7.11
bbr	3.380599	7.90
bbr	3.381761	7.18
bbr	3.382540	7.92
bbr	3.383664	7.15
bbr	3.384117	7.55
bbr	3.385294	6.83
bbr	3.386817	8.31
bbr	3.387914	7.50
bbr	3.388370	7.91
bbr	3.389493	9.00
bbr	3.390292	9.78
bbr	3.391417	9.04
bbr	3.392291	9.87
bbr	3.393381	9.44
bbr	3.394287	10.30
bbr	3.395410	9.89
bbr	3.396202	10.63
bbr	3.397345	9.19
bbr	3.398180	9.99
bbr	3.399309	9.18
bbr	3.400151	9.98
bbr	3.401280	9.19
bbr	3.402121	9.98
bbr	3.403261	9.18
bbr	3.404090	9.96
bbr	3.405215	9.18
bbr	3.406092	10.01
bbr	3.407226	9.21
bbr	3.409154	11.09
bbr	3.409251	9.27
bbr	3.411118	11.09
bbr	3.411227	9.27
bbr	3.413076	11.07
bbr	3.413178	9.25
bbr	3.414648	10.68
bbr	3.415138	9.25
bbr	3.416318	10.38
bbr	3.417394	9.51
bbr	3.418876	10.95
bbr	3.419999	10.16
bbr	3.420444	10.55
bbr	3.421567	9.76
bbr	3.422388	10.53
bbr	3.423514	10.13
bbr	3.424361	10.93
bbr	3.425489	10.53
bbr	3.426294	11.29
bbr	3.427421	9.80
bbr	3.428275	10.62
bbr	3.429402	9.18
bbr	3.430246	9.95
bbr	3.431373	9.18
bbr	3.432283	10.04
bbr	3.433370	9.21
bbr	3.434185	9.98
bbr	3.435312	9.18
bbr	3.436159	9.98
bbr	3.437296	9.19
bbr	3.438193	10.04
bbr	3.439319	9.24
bbr	3.440109	9.98
bbr	3.441229	9.18
bbr	3.442787	10.69
bbr	3.443286	9.26
bbr	3.444392	10.32
bbr	3.445938	9.94
bbr	3.447061	11.02
bbr	3.447153	9.18
bbr	3.448582	10.56
bbr	3.449669	9.73
bbr	3.450097	10.12
bbr	3.451239	9.71
bbr	3.453170	11.60
bbr	3.453269	10.17
bbr	3.454083	10.94
bbr	3.455219	10.54
bbr	3.457071	12.34
bbr	3.457172	9.86
bbr	3.459091	11.73
bbr	3.459199	9.27
bbr	3.461050	11.07
bbr	3.461153	9.25
bbr	3.462469	10.53
bbr	3.463594	9.72
bbr	3.465000	11.08
bbr	3.466130	10.29
bbr	3.466177	10.29
bbr	3.467719	9.91
bbr	3.468914	11.06
bbr	3.470041	10.26
bbr	3.470089	10.26
bbr	3.471628	9.87
bbr	3.472799	11.00
bbr	3.473922	11.61
bbr	3.474219	11.87
bbr	3.475345	11.60
bbr	3.476742	12.96
bbr	3.477866	11.60
bbr	3.478171	11.87
bbr	3.479313	11.66
bbr	3.480228	12.53
bbr	3.481326	11.14
bbr	3.482166	11.94
bbr	3.483293	11.75
bbr	3.484130	12.54
bbr	3.485257	11.21
bbr	3.486097	12.02
bbr	3.487250	11.76
bbr	3.488072	12.55
bbr	3.489204	11.18
bbr	3.490073	11.99
bbr	3.491206	11.18
bbr	3.493127	13.06
bbr	3.493223	11.23
bbr	3.494261	12.23
bbr	3.495719	11.76
bbr	3.497052	13.05
bbr	3.497152	11.22
bbr	3.498207	12.23
bbr	3.499679	11.77
bbr	3.501061	13.11
bbr	3.501160	11.28
bbr	3.502212	12.29
bbr	3.503716	11.87
bbr	3.504884	12.99
bbr	3.506010	11.61
bbr	3.506294	11.85
bbr	3.507406	11.61
bbr	3.508801	12.96
bbr	3.509926	11.57
bbr	3.510269	11.87
bbr	3.511396	11.67
bbr	3.512248	12.48
bbr	3.513374	11.04
bbr	3.514219	11.84
bbr	3.515332	11.70
bbr	3.516219	12.54
bbr	3.517303	11.16
bbr	3.518165	11.98
bbr	3.519295	11.74
bbr	3.520135	12.54
bbr	3.521262	11.15
bbr	3.522114	11.96
bbr	3.523253	11.16
bbr	3.524082	11.95
bbr	3.525215	11.16
bbr	3.526084	11.98
bbr	3.527222	11.19
bbr	3.529150	13.08
bbr	3.529253	11.25
bbr	3.530287	12.24
bbr	3.531737	11.76
bbr	3.533116	13.10
bbr	3.533213	11.26
bbr	3.534245	12.25
bbr	3.535791	11.87
bbr	3.536932	12.96
bbr	3.538012	12.10
bbr	3.538362	12.40
bbr	3.539496	11.62
bbr	3.540894	12.97
bbr	3.542017	11.59
bbr	3.542408	11.94
bbr	3.543553	11.71
bbr	3.544933	13.05
bbr	3.546061	11.68
bbr	3.546109	11.69
bbr	3.547609	11.90
bbr	3.548888	13.14
bbr	3.549950	11.75
bbr	3.550325	12.09
bbr	3.551451	11.82
bbr	3.552833	13.16
bbr	3.553956	11.71
bbr	3.554295	12.01
bbr	3.555381	11.71
bbr	3.556825	13.11
bbr	3.557948	11.75
bbr	3.558279	12.04
bbr	3.559394	11.87
bbr	3.560832	13.27
bbr	3.561918	11.76
bbr	3.562257	12.06
bbr	3.563382	11.80
bbr	3.564767	13.15
bbr	3.565891	11.80
bbr	3.566251	12.12
bbr	3.567353	11.79
bbr	3.568764	13.16
bbr	3.569889	11.80
bbr	3.570174	12.04
bbr	3.571301	11.76
bbr	3.572731	13.15
bbr	3.573812	11.72
bbr	3.574897	12.77
bbr	3.575987	12.48
bbr	3.577083	13.54
bbr	3.577167	11.13
bbr	3.578216	12.14
bbr	3.579391	11.88
bbr	3.580770	13.22
