Scheme	Traffic	Time (s)	Throughput (Mbit/s)
bbr	egress	3.00	0.00
bbr	egress	3.50	8.57
bbr	egress	4.00	12.00
bbr	egress	4.50	12.00
bbr	egress	5.00	12.00
bbr	egress	5.50	12.00
bbr	egress	6.00	12.00
bbr	egress	6.50	12.00
bbr	egress	7.00	12.00
bbr	egress	7.50	12.00
bbr	egress	8.00	12.00
bbr	egress	8.50	12.00
bbr	egress	9.00	12.00
bbr	egress	9.50	12.00
bbr	egress	10.00	12.00
bbr	egress	10.50	12.00
bbr	egress	11.00	12.00
bbr	egress	11.50	11.98
bbr	egress	12.00	12.02
bbr	egress	12.50	12.00
bbr	egress	13.00	12.00
bbr	egress	13.50	12.00
bbr	egress	14.00	11.98
bbr	egress	14.50	12.02
bbr	egress	15.00	12.00
bbr	egress	15.50	12.00
bbr	egress	16.00	12.00
bbr	egress	16.50	12.00
bbr	egress	17.00	12.00
bbr	egress	17.50	12.00
bbr	egress	18.00	12.00
bbr	egress	18.50	12.00
bbr	egress	19.00	12.00
bbr	egress	19.50	12.00
bbr	egress	20.00	12.00
bbr	egress	20.50	12.00
bbr	egress	21.00	12.00
bbr	egress	21.50	12.00
bbr	egress	22.00	11.98
bbr	egress	22.50	12.00
bbr	egress	23.00	12.02
bbr	egress	23.50	12.00
bbr	egress	24.00	12.00
bbr	egress	24.50	12.00
bbr	egress	25.00	11.98
bbr	egress	25.50	12.02
bbr	egress	26.00	12.00
bbr	egress	26.50	12.00
bbr	egress	27.00	12.00
bbr	egress	27.50	12.00
bbr	egress	28.00	12.00
bbr	egress	28.50	12.00
bbr	egress	29.00	12.00
bbr	egress	29.50	12.00
bbr	egress	30.00	12.00
bbr	egress	30.50	11.98
bbr	egress	31.00	12.00
bbr	egress	31.50	12.00
bbr	egress	32.00	12.00
bbr	egress	32.50	12.00
bbr	egress	33.00	12.00
bbr	egress	33.50	3.12
bbr	ingress	3.00	8.83
bbr	ingress	3.50	12.00
bbr	ingress	4.00	11.95
bbr	ingress	4.50	12.05
bbr	ingress	5.00	12.00
bbr	ingress	5.50	12.00
bbr	ingress	6.00	12.00
bbr	ingress	6.50	12.00
bbr	ingress	7.00	12.00
bbr	ingress	7.50	12.00
bbr	ingress	8.00	12.00
bbr	ingress	8.50	12.00
bbr	ingress	9.00	12.00
bbr	ingress	9.50	12.00
bbr	ingress	10.00	12.00
bbr	ingress	10.50	12.05
bbr	ingress	11.00	11.95
bbr	ingress	11.50	11.95
bbr	ingress	12.00	12.05
bbr	ingress	12.50	12.05
bbr	ingress	13.00	11.95
bbr	ingress	13.50	12.00
bbr	ingress	14.00	12.00
bbr	ingress	14.50	12.00
bbr	ingress	15.00	12.00
bbr	ingress	15.50	12.05
bbr	ingress	16.00	11.95
bbr	ingress	16.50	12.00
bbr	ingress	17.00	12.00
bbr	ingress	17.50	12.00
bbr	ingress	18.00	12.05
bbr	ingress	18.50	11.95
bbr	ingress	19.00	12.00
bbr	ingress	19.50	12.00
bbr	ingress	20.00	12.00
bbr	ingress	20.50	12.05
bbr	ingress	21.00	11.95
bbr	ingress	21.50	12.00
bbr	ingress	22.00	12.00
bbr	ingress	22.50	12.00
bbr	ingress	23.00	11.76
bbr	ingress	23.50	12.24
bbr	ingress	24.00	12.00
bbr	ingress	24.50	12.00
bbr	ingress	25.00	12.00
bbr	ingress	25.50	12.05
bbr	ingress	26.00	11.95
bbr	ingress	26.50	12.05
bbr	ingress	27.00	12.00
bbr	ingress	27.50	11.95
bbr	ingress	28.00	12.00
bbr	ingress	28.50	12.00
bbr	ingress	29.00	12.05
bbr	ingress	29.50	12.00
bbr	ingress	30.00	11.95
bbr	ingress	30.50	12.00
bbr	ingress	31.00	12.00
bbr	ingress	31.50	12.00
bbr	ingress	32.00	12.00
bbr	ingress	32.50	12.00
bbr	ingress	33.00	3.07
cubic	egress	3.00	0.00
cubic	egress	3.50	8.57
cubic	egress	4.00	12.00
cubic	egress	4.50	11.98
cubic	egress	5.00	12.02
cubic	egress	5.50	11.98
cubic	egress	6.00	12.02
cubic	egress	6.50	12.00
cubic	egress	7.00	12.00
cubic	egress	7.50	12.00
cubic	egress	8.00	12.00
cubic	egress	8.50	12.00
cubic	egress	9.00	12.00
cubic	egress	9.50	12.00
cubic	egress	10.00	12.00
cubic	egress	10.50	12.00
cubic	egress	11.00	12.00
cubic	egress	11.50	12.00
cubic	egress	12.00	12.00
cubic	egress	12.50	12.00
cubic	egress	13.00	12.00
cubic	egress	13.50	12.00
cubic	egress	14.00	12.00
cubic	egress	14.50	12.00
cubic	egress	15.00	12.00
cubic	egress	15.50	12.00
cubic	egress	16.00	12.00
cubic	egress	16.50	12.00
cubic	egress	17.00	12.00
cubic	egress	17.50	12.00
cubic	egress	18.00	12.00
cubic	egress	18.50	12.00
cubic	egress	19.00	12.00
cubic	egress	19.50	12.00
cubic	egress	20.00	12.00
cubic	egress	20.50	12.00
cubic	egress	21.00	12.00
cubic	egress	21.50	12.00
cubic	egress	22.00	12.00
cubic	egress	22.50	11.98
cubic	egress	23.00	12.02
cubic	egress	23.50	12.00
cubic	egress	24.00	12.00
cubic	egress	24.50	12.00
cubic	egress	25.00	12.00
cubic	egress	25.50	12.00
cubic	egress	26.00	12.00
cubic	egress	26.50	12.00
cubic	egress	27.00	12.00
cubic	egress	27.50	12.00
cubic	egress	28.00	11.98
cubic	egress	28.50	12.02
cubic	egress	29.00	12.00
cubic	egress	29.50	12.00
cubic	egress	30.00	11.98
cubic	egress	30.50	12.02
cubic	egress	31.00	11.98
cubic	egress	31.50	12.02
cubic	egress	32.00	12.00
cubic	egress	32.50	12.00
cubic	egress	33.00	12.00
cubic	egress	33.50	3.36
cubic	ingress	3.00	9.46
cubic	ingress	3.50	12.60
cubic	ingress	4.00	12.58
cubic	ingress	4.50	12.62
cubic	ingress	5.00	12.58
cubic	ingress	5.50	12.65
cubic	ingress	6.00	12.55
cubic	ingress	6.50	12.62
cubic	ingress	7.00	12.58
cubic	ingress	7.50	12.62
cubic	ingress	8.00	12.58
cubic	ingress	8.50	12.62
cubic	ingress	9.00	12.58
cubic	ingress	9.50	12.62
cubic	ingress	10.00	12.58
cubic	ingress	10.50	12.60
cubic	ingress	11.00	12.60
cubic	ingress	11.50	12.62
cubic	ingress	12.00	12.58
cubic	ingress	12.50	12.62
cubic	ingress	13.00	12.58
cubic	ingress	13.50	12.62
cubic	ingress	14.00	12.58
cubic	ingress	14.50	12.86
cubic	ingress	15.00	13.49
cubic	ingress	15.50	13.78
cubic	ingress	16.00	14.02
cubic	ingress	16.50	14.06
cubic	ingress	17.00	14.30
cubic	ingress	17.50	14.45
cubic	ingress	18.00	14.26
cubic	ingress	18.50	14.93
cubic	ingress	19.00	14.88
cubic	ingress	19.50	11.95
cubic	ingress	20.00	13.82
cubic	ingress	20.50	9.55
cubic	ingress	21.00	13.58
cubic	ingress	21.50	9.79
cubic	ingress	22.00	13.87
cubic	ingress	22.50	9.50
cubic	ingress	23.00	15.02
cubic	ingress	23.50	8.54
cubic	ingress	24.00	15.89
cubic	ingress	24.50	8.35
cubic	ingress	25.00	15.89
cubic	ingress	25.50	8.30
cubic	ingress	26.00	15.89
cubic	ingress	26.50	8.30
cubic	ingress	27.00	15.98
cubic	ingress	27.50	8.21
cubic	ingress	28.00	16.08
cubic	ingress	28.50	8.11
cubic	ingress	29.00	16.13
cubic	ingress	29.50	8.02
cubic	ingress	30.00	16.18
cubic	ingress	30.50	8.02
cubic	ingress	31.00	16.27
cubic	ingress	31.50	7.92
cubic	ingress	32.00	16.37
cubic	ingress	32.50	7.78
cubic	ingress	33.00	4.37
pcc	egress	3.00	0.00
pcc	egress	3.50	1.13
pcc	egress	4.00	4.36
pcc	egress	4.50	4.11
pcc	egress	5.00	4.22
pcc	egress	5.50	4.23
pcc	egress	6.00	5.11
pcc	egress	6.50	10.76
pcc	egress	7.00	11.14
pcc	egress	7.50	11.18
pcc	egress	8.00	11.40
pcc	egress	8.50	11.40
pcc	egress	9.00	11.50
pcc	egress	9.50	10.77
pcc	egress	10.00	10.40
pcc	egress	10.50	10.72
pcc	egress	11.00	10.38
pcc	egress	11.50	9.99
pcc	egress	12.00	10.26
pcc	egress	12.50	10.61
pcc	egress	13.00	10.14
pcc	egress	13.50	10.48
pcc	egress	14.00	10.96
pcc	egress	14.50	10.74
pcc	egress	15.00	10.26
pcc	egress	15.50	10.06
pcc	egress	16.00	11.76
pcc	egress	16.50	10.97
pcc	egress	17.00	12.00
pcc	egress	17.50	11.68
pcc	egress	18.00	12.02
pcc	egress	18.50	11.99
pcc	egress	19.00	11.99
pcc	egress	19.50	11.99
pcc	egress	20.00	11.99
pcc	egress	20.50	12.00
pcc	egress	21.00	12.00
pcc	egress	21.50	12.00
pcc	egress	22.00	12.00
pcc	egress	22.50	12.00
pcc	egress	23.00	12.00
pcc	egress	23.50	11.98
pcc	egress	24.00	12.01
pcc	egress	24.50	11.99
pcc	egress	25.00	9.21
pcc	egress	25.50	8.61
pcc	egress	26.00	10.19
pcc	egress	26.50	12.00
pcc	egress	27.00	12.00
pcc	egress	27.50	12.00
pcc	egress	28.00	10.45
pcc	egress	28.50	10.11
pcc	egress	29.00	10.06
pcc	egress	29.50	10.84
pcc	egress	30.00	11.50
pcc	egress	30.50	11.97
pcc	egress	31.00	11.88
pcc	egress	31.50	11.83
pcc	egress	32.00	12.00
pcc	egress	32.50	12.00
pcc	egress	33.00	12.00
pcc	egress	33.50	3.02
pcc	ingress	3.00	1.15
pcc	ingress	3.50	4.36
pcc	ingress	4.00	4.09
pcc	ingress	4.50	4.25
pcc	ingress	5.00	4.21
pcc	ingress	5.50	5.14
pcc	ingress	6.00	10.76
pcc	ingress	6.50	11.14
pcc	ingress	7.00	11.20
pcc	ingress	7.50	11.40
pcc	ingress	8.00	11.40
pcc	ingress	8.50	11.48
pcc	ingress	9.00	10.79
pcc	ingress	9.50	10.38
pcc	ingress	10.00	10.72
pcc	ingress	10.50	10.38
pcc	ingress	11.00	9.99
pcc	ingress	11.50	10.26
pcc	ingress	12.00	10.61
pcc	ingress	12.50	10.16
pcc	ingress	13.00	10.45
pcc	ingress	13.50	10.96
pcc	ingress	14.00	10.77
pcc	ingress	14.50	10.23
pcc	ingress	15.00	10.85
pcc	ingress	15.50	11.00
pcc	ingress	16.00	10.97
pcc	ingress	16.50	12.00
pcc	ingress	17.00	12.29
pcc	ingress	17.50	13.16
pcc	ingress	18.00	13.05
pcc	ingress	18.50	13.14
pcc	ingress	19.00	12.82
pcc	ingress	19.50	12.84
pcc	ingress	20.00	12.58
pcc	ingress	20.50	12.41
pcc	ingress	21.00	12.19
pcc	ingress	21.50	11.81
pcc	ingress	22.00	11.69
pcc	ingress	22.50	11.13
pcc	ingress	23.00	10.88
pcc	ingress	23.50	10.40
pcc	ingress	24.00	9.54
pcc	ingress	24.50	8.90
pcc	ingress	25.00	8.59
pcc	ingress	25.50	10.24
pcc	ingress	26.00	12.41
pcc	ingress	26.50	12.44
pcc	ingress	27.00	11.60
pcc	ingress	27.50	9.97
pcc	ingress	28.00	10.11
pcc	ingress	28.50	10.06
pcc	ingress	29.00	10.84
pcc	ingress	29.50	11.52
pcc	ingress	30.00	12.05
pcc	ingress	30.50	11.81
pcc	ingress	31.00	11.83
pcc	ingress	31.50	12.49
pcc	ingress	32.00	12.67
pcc	ingress	32.50	11.95
pcc	ingress	33.00	2.85
synthesizedBBR	egress	3.00	0.00
synthesizedBBR	egress	3.50	0.12
synthesizedBBR	egress	4.00	10.49
synthesizedBBR	egress	4.50	9.55
synthesizedBBR	egress	5.00	9.72
synthesizedBBR	egress	5.50	10.20
synthesizedBBR	egress	6.00	9.17
synthesizedBBR	egress	6.50	10.03
synthesizedBBR	egress	7.00	10.20
synthesizedBBR	egress	7.50	9.14
synthesizedBBR	egress	8.00	10.08
synthesizedBBR	egress	8.50	9.29
synthesizedBBR	egress	9.00	9.79
synthesizedBBR	egress	9.50	9.86
synthesizedBBR	egress	10.00	9.96
synthesizedBBR	egress	10.50	9.05
synthesizedBBR	egress	11.00	10.27
synthesizedBBR	egress	11.50	9.38
synthesizedBBR	egress	12.00	9.82
synthesizedBBR	egress	12.50	10.39
synthesizedBBR	egress	13.00	9.02
