Scheme	Time (s)	Delay (ms)
bbr	3.139709	1.35
bbr	3.142666	1.54
bbr	3.143804	2.55
bbr	3.144964	3.69
bbr	3.145354	4.07
bbr	3.146482	5.18
bbr	3.147920	6.61
bbr	3.149036	7.72
bbr	3.149139	7.81
bbr	3.150625	9.29
bbr	3.151752	10.41
bbr	3.152881	11.53
bbr	3.153214	8.00
bbr	3.154574	9.34
bbr	3.155784	9.10
bbr	3.156896	10.19
bbr	3.158027	8.70
bbr	3.159172	9.83
bbr	3.159277	9.93
bbr	3.160806	11.45
bbr	3.161938	12.57
bbr	3.163069	13.69
bbr	3.163175	12.71
bbr	3.164678	14.19
bbr	3.165784	12.70
bbr	3.166923	13.83
bbr	3.167302	14.20
bbr	3.168609	15.49
bbr	3.169896	16.77
bbr	3.170997	17.86
bbr	3.172153	19.01
bbr	3.172256	19.11
bbr	3.173770	19.24
bbr	3.174895	20.34
bbr	3.175222	15.73
bbr	3.176494	16.99
bbr	3.177552	18.04
bbr	3.178966	19.44
bbr	3.180176	20.64
bbr	3.180271	20.73
bbr	3.181286	21.73
bbr	3.182410	22.85
bbr	3.183851	20.51
bbr	3.184978	21.62
bbr	3.186122	22.75
bbr	3.186221	22.84
bbr	3.187681	24.29
bbr	3.188811	25.41
bbr	3.189938	26.53
bbr	3.191125	27.71
bbr	3.191229	24.06
bbr	3.192657	25.48
bbr	3.193790	26.60
bbr	3.194941	27.74
bbr	3.195263	28.05
bbr	3.196425	29.21
bbr	3.197554	30.33
bbr	3.198738	31.50
bbr	3.199074	30.47
bbr	3.200225	27.80
bbr	3.201356	28.92
bbr	3.202487	30.04
bbr	3.203921	31.47
bbr	3.205055	32.59
bbr	3.205154	32.68
bbr	3.206607	34.12
bbr	3.207741	35.25
bbr	3.208877	36.38
bbr	3.210015	34.92
bbr	3.211161	36.05
bbr	3.211364	36.25
bbr	3.212643	37.52
bbr	3.213766	38.63
bbr	3.214921	37.19
bbr	3.215305	37.56
bbr	3.216553	38.80
bbr	3.217610	38.76
bbr	3.218750	36.15
bbr	3.219071	36.45
bbr	3.220206	37.58
bbr	3.221333	38.70
bbr	3.222462	36.05
bbr	3.223927	37.50
bbr	3.225179	38.74
bbr	3.225293	33.90
bbr	3.226238	34.83
bbr	3.227696	36.28
bbr	3.228832	37.41
bbr	3.229962	38.53
bbr	3.231107	35.97
bbr	3.231273	36.12
bbr	3.232247	37.09
bbr	3.233731	38.56
bbr	3.234859	35.93
bbr	3.236005	37.06
bbr	3.236253	37.30
bbr	3.237491	38.53
bbr	3.238600	35.92
bbr	3.239686	36.99
bbr	3.241125	38.42
bbr	3.241317	38.61
bbr	3.242320	36.98
bbr	3.243721	38.37
bbr	3.244848	38.34
bbr	3.246108	34.79
bbr	3.246156	34.83
bbr	3.247253	35.91
bbr	3.248388	37.04
bbr	3.249526	38.17
bbr	3.250664	35.51
bbr	3.251794	36.62
bbr	3.252923	37.74
bbr	3.254053	38.86
bbr	3.254185	35.28
bbr	3.255247	36.32
bbr	3.256352	37.42
bbr	3.257490	38.55
bbr	3.258627	36.00
bbr	3.259808	37.16
bbr	3.260917	38.26
bbr	3.262039	39.38
bbr	3.262169	35.74
bbr	3.263204	36.76
bbr	3.264331	37.88
bbr	3.265485	33.06
bbr	3.266611	34.17
bbr	3.267738	35.29
bbr	3.269147	36.69
bbr	3.269274	36.80
bbr	3.270286	37.81
bbr	3.271718	35.59
bbr	3.272914	36.77
bbr	3.274027	37.87
bbr	3.274342	38.18
bbr	3.275485	35.62
bbr	3.276851	36.97
bbr	3.277979	38.09
bbr	3.278245	38.34
bbr	3.279380	36.91
bbr	3.280863	38.37
bbr	3.281996	14.08
bbr	3.282291	14.36
bbr	3.283393	12.95
bbr	3.284814	14.35
bbr	3.285991	14.35
bbr	3.286437	14.78
bbr	3.287574	13.39
bbr	3.288200	14.00
bbr	3.289320	13.70
bbr	3.291158	15.52
bbr	3.291288	13.17
bbr	3.292296	14.16
bbr	3.293703	14.07
bbr	3.294965	15.31
bbr	3.296122	13.99
bbr	3.296240	14.10
bbr	3.297633	14.07
bbr	3.298785	15.21
bbr	3.299915	13.76
bbr	3.300221	14.05
bbr	3.301349	13.34
bbr	3.302715	14.69
bbr	3.303847	13.93
