Scheme	Time (s)	Delay (ms)
bbr	3.127046	1.42
bbr	3.130136	1.69
bbr	3.130179	1.51
bbr	3.131286	2.56
bbr	3.132747	4.00
bbr	3.133868	5.09
bbr	3.134989	6.19
bbr	3.135371	6.54
bbr	3.136750	7.89
bbr	3.138095	9.21
bbr	3.138130	9.22
bbr	3.139228	10.29
bbr	3.140747	9.24
bbr	3.141994	10.44
bbr	3.143126	7.93
bbr	3.143157	7.92
bbr	3.144628	9.31
bbr	3.145747	10.39
bbr	3.146078	10.70
bbr	3.147364	11.94
bbr	3.148783	12.02
bbr	3.149903	13.05
bbr	3.151027	11.54
bbr	3.151060	11.50
bbr	3.152170	12.59
bbr	3.153619	14.01
bbr	3.154836	15.20
bbr	3.155972	16.31
bbr	3.156283	15.69
bbr	3.157573	16.94
bbr	3.158694	18.04
bbr	3.159818	19.14
bbr	3.160188	16.84
bbr	3.161440	18.05
bbr	3.162583	19.16
bbr	3.164076	20.63
bbr	3.164114	18.18
bbr	3.165206	19.23
bbr	3.166327	20.30
bbr	3.167457	21.41
bbr	3.168931	22.85
bbr	3.170062	23.94
bbr	3.170098	22.59
bbr	3.171192	23.64
bbr	3.172712	25.13
bbr	3.173797	26.19
bbr	3.174888	22.53
bbr	3.175999	23.57
bbr	3.177092	24.64
bbr	3.177130	24.65
bbr	3.178634	26.12
bbr	3.179759	27.22
bbr	3.180097	27.53
bbr	3.181236	28.64
bbr	3.182365	28.90
bbr	3.183495	29.99
bbr	3.184981	31.45
bbr	3.186109	32.55
bbr	3.186139	30.02
bbr	3.187243	31.08
bbr	3.188732	32.55
bbr	3.189853	33.62
bbr	3.190976	30.93
bbr	3.192113	32.03
bbr	3.192149	32.04
bbr	3.193601	33.47
bbr	3.194721	34.56
bbr	3.195848	35.66
bbr	3.196206	35.98
bbr	3.197384	37.13
bbr	3.198591	35.83
bbr	3.199716	36.92
bbr	3.200074	37.25
bbr	3.201210	38.36
bbr	3.202336	38.40
bbr	3.203463	35.80
bbr	3.204940	37.24
bbr	3.206069	38.34
bbr	3.206102	38.35
bbr	3.207203	35.78
bbr	3.208696	37.21
bbr	3.209781	38.26
bbr	3.210874	33.56
bbr	3.211979	34.62
bbr	3.212326	34.94
bbr	3.213561	36.15
bbr	3.214685	37.25
bbr	3.216113	38.65
bbr	3.216151	36.20
bbr	3.217243	37.25
bbr	3.218701	38.68
bbr	3.219824	36.11
bbr	3.220943	37.19
bbr	3.221286	37.51
bbr	3.222552	38.75
bbr	3.223674	36.20
bbr	3.224796	37.26
bbr	3.225128	37.57
bbr	3.226358	37.77
bbr	3.227482	38.86
bbr	3.228609	36.27
bbr	3.230086	37.70
bbr	3.230122	37.71
bbr	3.231214	35.15
bbr	3.232665	36.56
bbr	3.233784	37.65
bbr	3.234904	38.75
bbr	3.236030	36.11
bbr	3.236083	36.12
bbr	3.237171	37.18
bbr	3.238293	38.28
bbr	3.239418	35.74
bbr	3.240539	36.82
bbr	3.241661	37.92
bbr	3.242783	39.01
bbr	3.243913	36.49
bbr	3.245038	37.55
bbr	3.245058	37.54
bbr	3.246177	33.99
bbr	3.247335	35.11
bbr	3.248523	36.27
bbr	3.249642	37.37
bbr	3.250764	38.41
bbr	3.251898	37.04
bbr	3.253012	38.12
bbr	3.253056	38.13
bbr	3.254204	36.74
bbr	3.255319	37.82
bbr	3.256461	35.32
bbr	3.257836	36.65
bbr	3.258958	37.75
bbr	3.259297	38.06
bbr	3.260435	35.46
bbr	3.261824	36.80
bbr	3.262912	37.86
bbr	3.263294	38.22
bbr	3.264419	35.60
bbr	3.265832	36.98
bbr	3.266957	38.08
bbr	3.267360	38.45
bbr	3.268483	37.07
bbr	3.269900	38.44
bbr	3.271022	14.41
bbr	3.271043	14.39
bbr	3.272473	13.34
bbr	3.273591	14.42
bbr	3.274714	14.13
bbr	3.276144	15.52
bbr	3.276183	13.06
bbr	3.277269	14.11
bbr	3.278742	14.14
bbr	3.279861	15.22
bbr	3.280982	13.85
bbr	3.281337	14.16
bbr	3.282439	13.77
bbr	3.283867	15.15
bbr	3.284989	13.79
bbr	3.285314	14.07
bbr	3.286437	14.10
bbr	3.287867	15.49
bbr	3.288950	14.05
bbr	3.289299	14.36
bbr	3.290422	12.93
bbr	3.291833	14.30
bbr	3.292953	14.35
bbr	3.293354	14.72
bbr	3.294476	13.31
bbr	3.295905	14.70
bbr	3.297035	14.40
bbr	3.297072	14.40
bbr	3.298480	13.30
bbr	3.299602	14.38
bbr	3.300726	14.12
bbr	3.301053	14.41
bbr	3.302191	13.03
bbr	3.303578	14.37
bbr	3.304699	14.11
bbr	3.306097	15.45
bbr	3.306132	12.95
bbr	3.307223	14.00
bbr	3.308707	14.04
bbr	3.309827	15.12
bbr	3.310947	13.72
bbr	3.311275	14.01
bbr	3.312489	14.15
bbr	3.313737	15.36
bbr	3.314859	13.95
bbr	3.315186	14.23
bbr	3.316310	13.96
bbr	3.317747	15.35
bbr	3.318868	14.00
bbr	3.319161	14.26
bbr	3.320306	12.87
