Scheme	Traffic	Time (s)	Throughput (Mbit/s)
eagle-v3	egress	26.40	0.08
eagle-v3	egress	26.55	0.00
eagle-v3	egress	26.70	0.00
eagle-v3	egress	26.85	0.00
eagle-v3	egress	27.00	0.00
eagle-v3	egress	27.15	0.00
eagle-v3	egress	27.30	0.00
eagle-v3	egress	27.45	0.00
eagle-v3	egress	27.60	0.00
eagle-v3	egress	27.75	0.00
eagle-v3	egress	27.90	0.00
eagle-v3	egress	28.05	0.00
eagle-v3	egress	28.20	0.00
eagle-v3	egress	28.35	0.00
eagle-v3	egress	28.50	0.00
eagle-v3	egress	28.65	0.00
eagle-v3	egress	28.80	0.08
eagle-v3	egress	28.95	0.00
eagle-v3	egress	29.10	0.00
eagle-v3	egress	29.25	0.00
eagle-v3	egress	29.40	0.00
eagle-v3	egress	29.55	0.00
eagle-v3	egress	29.70	0.08
eagle-v3	egress	29.85	0.00
eagle-v3	egress	30.00	0.00
eagle-v3	egress	30.15	0.00
eagle-v3	egress	30.30	0.00
eagle-v3	egress	30.45	0.00
eagle-v3	egress	30.60	0.00
eagle-v3	egress	30.75	0.08
eagle-v3	egress	30.90	0.00
eagle-v3	egress	31.05	0.00
eagle-v3	egress	31.20	0.00
eagle-v3	egress	31.35	0.00
eagle-v3	egress	31.50	0.00
eagle-v3	egress	31.65	0.00
eagle-v3	egress	31.80	0.08
eagle-v3	egress	31.95	0.00
eagle-v3	egress	32.10	0.00
eagle-v3	egress	32.25	0.00
eagle-v3	egress	32.40	0.08
eagle-v3	ingress	3.45	0.08
eagle-v3	ingress	3.60	0.16
eagle-v3	ingress	3.75	0.32
eagle-v3	ingress	3.90	0.64
eagle-v3	ingress	4.05	0.64
eagle-v3	ingress	4.20	0.72
eagle-v3	ingress	4.35	0.72
eagle-v3	ingress	4.50	0.64
eagle-v3	ingress	4.65	0.40
eagle-v3	ingress	4.80	0.48
eagle-v3	ingress	4.95	0.96
eagle-v3	ingress	5.10	1.20
eagle-v3	ingress	5.25	0.48
eagle-v3	ingress	5.40	0.24
eagle-v3	ingress	5.55	0.16
eagle-v3	ingress	5.70	0.08
eagle-v3	ingress	5.85	0.08
eagle-v3	ingress	6.00	0.16
eagle-v3	ingress	6.15	0.40
eagle-v3	ingress	6.30	0.56
eagle-v3	ingress	6.45	0.24
eagle-v3	ingress	6.60	0.16
eagle-v3	ingress	6.75	0.32
eagle-v3	ingress	6.90	0.08
eagle-v3	ingress	7.05	0.08
eagle-v3	ingress	7.20	0.00
eagle-v3	ingress	7.35	0.00
eagle-v3	ingress	7.50	0.08
eagle-v3	ingress	7.65	0.08
eagle-v3	ingress	7.80	0.08
eagle-v3	ingress	7.95	0.08
eagle-v3	ingress	8.10	0.48
eagle-v3	ingress	8.25	1.28
