Scheme	Traffic	Time (s)	Throughput (Mbit/s)
eagle-v3	egress	4.50	0.00
eagle-v3	egress	4.65	0.08
eagle-v3	egress	4.80	0.08
eagle-v3	egress	4.95	0.08
eagle-v3	egress	5.10	0.08
eagle-v3	egress	5.25	0.00
eagle-v3	egress	5.40	0.00
eagle-v3	egress	5.55	0.08
eagle-v3	egress	5.70	0.00
eagle-v3	egress	5.85	0.00
eagle-v3	egress	6.00	0.00
eagle-v3	egress	6.15	0.00
eagle-v3	egress	6.30	0.00
eagle-v3	egress	6.45	0.00
eagle-v3	egress	6.60	0.00
eagle-v3	egress	6.75	0.08
eagle-v3	egress	6.90	0.00
eagle-v3	egress	7.05	0.00
eagle-v3	egress	7.20	0.00
eagle-v3	egress	7.35	0.00
eagle-v3	egress	7.50	0.00
eagle-v3	egress	7.65	0.00
eagle-v3	egress	7.80	0.00
eagle-v3	egress	7.95	0.08
eagle-v3	egress	8.10	0.00
eagle-v3	egress	8.25	0.00
eagle-v3	egress	8.40	0.00
eagle-v3	egress	8.55	0.00
eagle-v3	egress	8.70	0.00
eagle-v3	egress	8.85	0.00
eagle-v3	egress	9.00	0.08
eagle-v3	egress	9.15	0.00
eagle-v3	egress	9.30	0.00
eagle-v3	egress	9.45	0.00
eagle-v3	egress	9.60	0.00
eagle-v3	egress	9.75	0.00
eagle-v3	egress	9.90	0.00
eagle-v3	egress	10.05	0.00
eagle-v3	egress	10.20	0.08
eagle-v3	egress	10.35	0.00
eagle-v3	egress	10.50	0.00
eagle-v3	egress	10.65	0.00
eagle-v3	egress	10.80	0.00
eagle-v3	egress	10.95	0.00
eagle-v3	egress	11.10	0.00
eagle-v3	egress	11.25	0.08
eagle-v3	egress	11.40	0.00
eagle-v3	egress	11.55	0.00
eagle-v3	egress	11.70	0.00
eagle-v3	egress	11.85	0.00
eagle-v3	egress	12.00	0.00
eagle-v3	egress	12.15	0.00
eagle-v3	egress	12.30	0.00
eagle-v3	egress	12.45	0.08
eagle-v3	egress	12.60	0.00
eagle-v3	egress	12.75	0.00
eagle-v3	egress	12.90	0.08
eagle-v3	egress	13.05	0.00
eagle-v3	egress	13.20	0.00
eagle-v3	egress	13.35	0.00
eagle-v3	egress	13.50	0.00
eagle-v3	egress	13.65	0.08
eagle-v3	egress	13.80	0.00
eagle-v3	egress	13.95	0.00
eagle-v3	egress	14.10	0.08
eagle-v3	egress	14.25	0.00
eagle-v3	egress	14.40	0.08
eagle-v3	egress	14.55	0.00
eagle-v3	egress	14.70	0.00
eagle-v3	egress	14.85	0.08
eagle-v3	egress	15.00	0.00
eagle-v3	egress	15.15	0.00
eagle-v3	egress	15.30	0.08
eagle-v3	egress	15.45	0.00
eagle-v3	egress	15.60	0.00
eagle-v3	egress	15.75	0.08
eagle-v3	egress	15.90	0.00
eagle-v3	egress	16.05	0.08
eagle-v3	egress	16.20	0.00
eagle-v3	egress	16.35	0.08
eagle-v3	egress	16.50	0.00
eagle-v3	egress	16.65	0.00
eagle-v3	egress	16.80	0.00
eagle-v3	egress	16.95	0.00
eagle-v3	egress	17.10	0.08
eagle-v3	egress	17.25	0.00
eagle-v3	egress	17.40	0.00
eagle-v3	egress	17.55	0.00
eagle-v3	egress	17.70	0.00
eagle-v3	egress	17.85	0.00
eagle-v3	egress	18.00	0.08
eagle-v3	egress	18.15	0.00
eagle-v3	egress	18.30	0.00
eagle-v3	egress	18.45	0.00
eagle-v3	egress	18.60	0.00
eagle-v3	egress	18.75	0.00
eagle-v3	egress	18.90	0.08
eagle-v3	egress	19.05	0.00
eagle-v3	egress	19.20	0.00
eagle-v3	egress	19.35	0.00
eagle-v3	egress	19.50	0.00
eagle-v3	egress	19.65	0.08
eagle-v3	egress	19.80	0.00
eagle-v3	egress	19.95	0.00
eagle-v3	egress	20.10	0.00
eagle-v3	egress	20.25	0.08
eagle-v3	egress	20.40	0.00
eagle-v3	egress	20.55	0.00
eagle-v3	egress	20.70	0.00
eagle-v3	egress	20.85	0.00
eagle-v3	egress	21.00	0.08
eagle-v3	egress	21.15	0.00
eagle-v3	egress	21.30	0.00
eagle-v3	egress	21.45	0.00
eagle-v3	egress	21.60	0.00
eagle-v3	egress	21.75	0.00
eagle-v3	egress	21.90	0.08
eagle-v3	egress	22.05	0.00
eagle-v3	egress	22.20	0.00
eagle-v3	egress	22.35	0.00
eagle-v3	egress	22.50	0.00
eagle-v3	egress	22.65	0.08
eagle-v3	egress	22.80	0.00
eagle-v3	egress	22.95	0.00
eagle-v3	egress	23.10	0.00
eagle-v3	egress	23.25	0.00
eagle-v3	egress	23.40	0.00
eagle-v3	egress	23.55	0.08
eagle-v3	egress	23.70	0.00
eagle-v3	egress	23.85	0.00
eagle-v3	egress	24.00	0.00
eagle-v3	egress	24.15	0.00
eagle-v3	egress	24.30	0.00
eagle-v3	egress	24.45	0.00
eagle-v3	egress	24.60	0.00
eagle-v3	egress	24.75	0.08
eagle-v3	egress	24.90	0.00
eagle-v3	egress	25.05	0.00
eagle-v3	egress	25.20	0.00
eagle-v3	egress	25.35	0.00
eagle-v3	egress	25.50	0.00
eagle-v3	egress	25.65	0.00
eagle-v3	egress	25.80	0.08
eagle-v3	egress	25.95	0.00
eagle-v3	egress	26.10	0.00
eagle-v3	egress	26.25	0.00
eagle-v3	egress	26.40	0.00
eagle-v3	egress	26.55	0.00
eagle-v3	egress	26.70	0.00
eagle-v3	egress	26.85	0.00
eagle-v3	egress	27.00	0.08
eagle-v3	egress	27.15	0.00
eagle-v3	egress	27.30	0.00
eagle-v3	egress	27.45	0.00
eagle-v3	egress	27.60	0.00
eagle-v3	egress	27.75	0.00
eagle-v3	egress	27.90	0.00
eagle-v3	egress	28.05	0.00
eagle-v3	egress	28.20	0.08
eagle-v3	egress	28.35	0.00
eagle-v3	egress	28.50	0.00
eagle-v3	egress	28.65	0.00
eagle-v3	egress	28.80	0.00
eagle-v3	egress	28.95	0.00
eagle-v3	egress	29.10	0.00
eagle-v3	egress	29.25	0.08
eagle-v3	egress	29.40	0.00
eagle-v3	egress	29.55	0.00
eagle-v3	egress	29.70	0.00
eagle-v3	egress	29.85	0.00
eagle-v3	egress	30.00	0.00
eagle-v3	egress	30.15	0.00
eagle-v3	egress	30.30	0.00
eagle-v3	egress	30.45	0.08
eagle-v3	egress	30.60	0.00
eagle-v3	egress	30.75	0.00
eagle-v3	egress	30.90	0.00
eagle-v3	egress	31.05	0.00
eagle-v3	egress	31.20	0.00
eagle-v3	egress	31.35	0.08
eagle-v3	egress	31.50	0.00
eagle-v3	egress	31.65	0.08
eagle-v3	egress	31.80	0.00
eagle-v3	egress	31.95	0.00
eagle-v3	egress	32.10	0.08
eagle-v3	egress	32.25	0.00
eagle-v3	egress	32.40	0.08
eagle-v3	egress	32.55	0.00
eagle-v3	egress	32.70	0.00
eagle-v3	egress	32.85	0.08
eagle-v3	egress	33.00	0.00
eagle-v3	egress	33.15	0.00
eagle-v3	egress	33.30	0.08
eagle-v3	egress	33.45	0.00
eagle-v3	egress	33.60	0.08
eagle-v3	egress	33.75	0.00
eagle-v3	egress	33.90	0.00
eagle-v3	egress	34.05	0.08
eagle-v3	ingress	4.50	0.16
eagle-v3	ingress	4.65	0.08
eagle-v3	ingress	4.80	0.08
eagle-v3	ingress	4.95	0.08
eagle-v3	ingress	5.10	0.00
eagle-v3	ingress	5.25	0.00
eagle-v3	ingress	5.40	0.08
eagle-v3	ingress	5.55	0.00
eagle-v3	ingress	5.70	0.00
eagle-v3	ingress	5.85	0.00
eagle-v3	ingress	6.00	0.00
eagle-v3	ingress	6.15	0.00
eagle-v3	ingress	6.30	0.00
eagle-v3	ingress	6.45	0.00
eagle-v3	ingress	6.60	0.08
eagle-v3	ingress	6.75	0.00
eagle-v3	ingress	6.90	0.00
eagle-v3	ingress	7.05	0.00
eagle-v3	ingress	7.20	0.00
eagle-v3	ingress	7.35	0.00
eagle-v3	ingress	7.50	0.00
eagle-v3	ingress	7.65	0.08
eagle-v3	ingress	7.80	0.00
eagle-v3	ingress	7.95	0.00
eagle-v3	ingress	8.10	0.00
eagle-v3	ingress	8.25	0.00
eagle-v3	ingress	8.40	0.00
eagle-v3	ingress	8.55	0.00
eagle-v3	ingress	8.70	0.00
eagle-v3	ingress	8.85	0.08
eagle-v3	ingress	9.00	0.00
eagle-v3	ingress	9.15	0.00
eagle-v3	ingress	9.30	0.00
eagle-v3	ingress	9.45	0.00
eagle-v3	ingress	9.60	0.00
eagle-v3	ingress	9.75	0.00
eagle-v3	ingress	9.90	0.00
eagle-v3	ingress	10.05	0.08
eagle-v3	ingress	10.20	0.00
eagle-v3	ingress	10.35	0.00
eagle-v3	ingress	10.50	0.00
eagle-v3	ingress	10.65	0.00
eagle-v3	ingress	10.80	0.00
eagle-v3	ingress	10.95	0.00
eagle-v3	ingress	11.10	0.08
eagle-v3	ingress	11.25	0.00
eagle-v3	ingress	11.40	0.00
eagle-v3	ingress	11.55	0.00
eagle-v3	ingress	11.70	0.00
eagle-v3	ingress	11.85	0.00
eagle-v3	ingress	12.00	0.00
eagle-v3	ingress	12.15	0.00
eagle-v3	ingress	12.30	0.08
eagle-v3	ingress	12.45	0.00
eagle-v3	ingress	12.60	0.00
eagle-v3	ingress	12.75	0.08
eagle-v3	ingress	12.90	0.00
eagle-v3	ingress	13.05	0.08
eagle-v3	ingress	13.20	0.00
eagle-v3	ingress	13.35	0.00
eagle-v3	ingress	13.50	0.08
eagle-v3	ingress	13.65	0.00
eagle-v3	ingress	13.80	0.00
eagle-v3	ingress	13.95	0.08
eagle-v3	ingress	14.10	0.00
eagle-v3	ingress	14.25	0.08
eagle-v3	ingress	14.40	0.00
eagle-v3	ingress	14.55	0.00
eagle-v3	ingress	14.70	0.08
eagle-v3	ingress	14.85	0.00
eagle-v3	ingress	15.00	0.00
eagle-v3	ingress	15.15	0.08
eagle-v3	ingress	15.30	0.00
eagle-v3	ingress	15.45	0.00
eagle-v3	ingress	15.60	0.08
eagle-v3	ingress	15.75	0.00
eagle-v3	ingress	15.90	0.08
eagle-v3	ingress	16.05	0.00
eagle-v3	ingress	16.20	0.08
eagle-v3	ingress	16.35	0.00
eagle-v3	ingress	16.50	0.00
eagle-v3	ingress	16.65	0.00
eagle-v3	ingress	16.80	0.00
