Scheme	Traffic	Time (s)	Throughput (Mbit/s)
bbr	egress	3.00	0.00
bbr	egress	3.50	8.88
bbr	egress	4.00	12.00
bbr	egress	4.50	12.00
bbr	egress	5.00	12.00
bbr	egress	5.50	12.00
bbr	egress	6.00	12.00
bbr	egress	6.50	12.00
bbr	egress	7.00	12.00
bbr	egress	7.50	12.00
bbr	egress	8.00	12.00
bbr	egress	8.50	12.00
bbr	egress	9.00	12.00
bbr	egress	9.50	12.00
bbr	egress	10.00	12.00
bbr	egress	10.50	12.00
bbr	egress	11.00	12.00
bbr	egress	11.50	12.00
bbr	egress	12.00	12.00
bbr	egress	12.50	12.00
bbr	egress	13.00	12.00
bbr	egress	13.50	11.98
bbr	egress	14.00	12.02
bbr	egress	14.50	12.00
bbr	egress	15.00	12.00
bbr	egress	15.50	12.00
bbr	egress	16.00	12.00
bbr	egress	16.50	12.00
bbr	egress	17.00	12.00
bbr	egress	17.50	12.00
bbr	egress	18.00	12.00
bbr	egress	18.50	12.00
bbr	egress	19.00	12.00
bbr	egress	19.50	12.00
bbr	egress	20.00	12.00
bbr	egress	20.50	12.00
bbr	egress	21.00	12.00
bbr	egress	21.50	12.00
bbr	egress	22.00	12.00
bbr	egress	22.50	12.00
bbr	egress	23.00	12.00
bbr	egress	23.50	12.00
bbr	egress	24.00	12.00
bbr	egress	24.50	12.00
bbr	egress	25.00	12.00
bbr	egress	25.50	12.00
bbr	egress	26.00	12.00
bbr	egress	26.50	12.00
bbr	egress	27.00	11.98
bbr	egress	27.50	12.02
bbr	egress	28.00	12.00
bbr	egress	28.50	12.00
bbr	egress	29.00	11.98
bbr	egress	29.50	12.02
bbr	egress	30.00	12.00
bbr	egress	30.50	12.00
bbr	egress	31.00	12.00
bbr	egress	31.50	12.00
bbr	egress	32.00	12.00
bbr	egress	32.50	11.98
bbr	egress	33.00	12.00
bbr	egress	33.50	3.00
bbr	ingress	3.00	9.17
bbr	ingress	3.50	11.95
bbr	ingress	4.00	12.05
bbr	ingress	4.50	12.00
bbr	ingress	5.00	12.00
bbr	ingress	5.50	12.00
bbr	ingress	6.00	12.00
bbr	ingress	6.50	12.00
bbr	ingress	7.00	12.00
bbr	ingress	7.50	11.95
bbr	ingress	8.00	12.05
bbr	ingress	8.50	12.00
bbr	ingress	9.00	11.95
bbr	ingress	9.50	12.00
bbr	ingress	10.00	12.05
bbr	ingress	10.50	12.00
bbr	ingress	11.00	12.00
bbr	ingress	11.50	11.95
bbr	ingress	12.00	12.05
bbr	ingress	12.50	12.00
bbr	ingress	13.00	11.86
bbr	ingress	13.50	12.14
bbr	ingress	14.00	12.00
bbr	ingress	14.50	12.00
bbr	ingress	15.00	12.00
bbr	ingress	15.50	12.00
bbr	ingress	16.00	12.00
bbr	ingress	16.50	12.00
bbr	ingress	17.00	12.00
bbr	ingress	17.50	12.00
bbr	ingress	18.00	12.00
bbr	ingress	18.50	12.00
bbr	ingress	19.00	12.00
bbr	ingress	19.50	12.00
bbr	ingress	20.00	12.00
bbr	ingress	20.50	12.00
bbr	ingress	21.00	12.00
bbr	ingress	21.50	12.00
bbr	ingress	22.00	12.00
bbr	ingress	22.50	12.00
bbr	ingress	23.00	11.76
bbr	ingress	23.50	12.24
bbr	ingress	24.00	12.05
bbr	ingress	24.50	11.95
bbr	ingress	25.00	12.00
bbr	ingress	25.50	12.05
bbr	ingress	26.00	12.00
bbr	ingress	26.50	11.95
bbr	ingress	27.00	12.00
bbr	ingress	27.50	12.05
bbr	ingress	28.00	12.00
bbr	ingress	28.50	11.95
bbr	ingress	29.00	12.05
bbr	ingress	29.50	12.00
bbr	ingress	30.00	11.98
bbr	ingress	30.50	11.98
bbr	ingress	31.00	12.00
bbr	ingress	31.50	12.00
bbr	ingress	32.00	12.00
bbr	ingress	32.50	12.00
bbr	ingress	33.00	3.02
cubic	egress	3.00	0.00
cubic	egress	3.50	8.57
cubic	egress	4.00	12.00
cubic	egress	4.50	12.00
cubic	egress	5.00	12.00
cubic	egress	5.50	12.00
cubic	egress	6.00	12.00
cubic	egress	6.50	12.00
cubic	egress	7.00	11.98
cubic	egress	7.50	12.02
cubic	egress	8.00	11.98
cubic	egress	8.50	12.02
cubic	egress	9.00	12.00
cubic	egress	9.50	12.00
