Scheme	Traffic	Time (s)	Throughput (Mbit/s)
pcc	egress	3.30	0.00
pcc	egress	3.45	0.01
pcc	egress	3.60	0.17
pcc	egress	3.75	2.11
pcc	egress	3.90	4.17
pcc	egress	4.05	8.42
pcc	egress	4.20	19.41
pcc	egress	4.35	37.96
pcc	egress	4.50	49.98
pcc	egress	4.65	50.00
pcc	egress	4.80	43.92
pcc	egress	4.95	32.82
pcc	egress	5.10	32.34
pcc	egress	5.25	32.62
pcc	egress	5.40	32.53
pcc	egress	5.55	32.13
pcc	egress	5.70	31.78
pcc	egress	5.85	31.49
pcc	egress	6.00	32.25
pcc	egress	6.15	32.14
pcc	egress	6.30	31.73
pcc	egress	6.45	32.34
pcc	egress	6.60	32.45
pcc	egress	6.75	32.45
pcc	egress	6.90	32.94
pcc	egress	7.05	33.09
pcc	egress	7.20	34.06
pcc	egress	7.35	33.90
pcc	egress	7.50	32.82
pcc	egress	7.65	33.33
pcc	egress	7.80	32.94
pcc	egress	7.95	33.41
pcc	egress	8.10	32.86
pcc	egress	8.25	32.54
pcc	egress	8.40	32.17
pcc	egress	8.55	31.50
pcc	egress	8.70	31.13
pcc	egress	8.85	31.73
pcc	egress	9.00	32.13
pcc	egress	9.15	32.29
pcc	egress	9.30	31.86
pcc	egress	9.45	32.05
pcc	egress	9.60	32.29
pcc	egress	9.75	32.90
pcc	egress	9.90	33.02
pcc	egress	10.05	32.61
pcc	egress	10.20	32.22
pcc	egress	10.35	32.65
pcc	egress	10.50	32.06
pcc	egress	10.65	32.37
pcc	egress	10.80	32.46
pcc	egress	10.95	31.77
pcc	egress	11.10	32.53
pcc	egress	11.25	33.02
pcc	egress	11.40	31.54
pcc	egress	11.55	33.25
pcc	egress	11.70	32.70
pcc	egress	11.85	31.41
pcc	egress	12.00	32.81
pcc	egress	12.15	33.02
pcc	egress	12.30	33.74
pcc	egress	12.45	33.50
pcc	egress	12.60	33.25
pcc	egress	12.75	32.70
pcc	egress	12.90	33.18
pcc	egress	13.05	32.77
pcc	egress	13.20	33.14
pcc	egress	13.35	33.26
pcc	egress	13.50	33.90
pcc	egress	13.65	33.98
pcc	egress	13.80	33.58
pcc	egress	13.95	33.02
pcc	egress	14.10	33.57
pcc	egress	14.25	33.02
pcc	egress	14.40	33.34
pcc	egress	14.55	33.34
pcc	egress	14.70	32.73
pcc	egress	14.85	33.58
pcc	egress	15.00	33.66
pcc	egress	15.15	32.70
