Scheme	Time (s)	Delay (ms)
aurora	3.286078	28.66
aurora	3.339270	24.36
aurora	3.417445	23.68
aurora	3.417501	23.69
aurora	3.417555	22.79
aurora	3.417612	22.82
aurora	3.417637	21.80
aurora	3.417680	21.82
aurora	3.419515	22.54
aurora	3.421866	24.86
aurora	3.425857	27.79
aurora	3.425900	27.81
aurora	3.427148	28.05
aurora	3.427176	28.05
aurora	3.429233	29.10
aurora	3.429261	29.10
aurora	3.433522	32.15
aurora	3.433556	32.16
aurora	3.435601	33.33
aurora	3.435633	33.33
aurora	3.440793	37.45
aurora	3.440837	37.47
aurora	3.442285	37.84
aurora	3.442313	37.85
aurora	3.447381	41.81
aurora	3.447413	41.81
aurora	3.449479	42.92
aurora	3.449507	42.91
aurora	3.451584	43.89
aurora	3.451615	43.88
aurora	3.461403	52.66
aurora	3.461438	52.66
aurora	3.479235	69.40
aurora	3.479267	69.40
aurora	3.479314	68.40
aurora	3.479332	68.37
aurora	3.486407	74.43
aurora	3.486437	74.42
aurora	3.488466	75.46
aurora	3.490559	77.54
aurora	3.492130	77.99
aurora	3.492157	77.99
aurora	3.511660	96.50
aurora	3.511708	96.52
aurora	3.512704	96.49
aurora	3.512731	96.49
aurora	3.512761	95.48
aurora	3.512778	95.47
aurora	3.512795	94.29
aurora	3.512836	94.30
aurora	3.512880	93.27
aurora	3.512918	93.27
aurora	3.512942	92.27
aurora	3.512979	92.28
aurora	3.514270	92.70
aurora	3.514296	92.70
aurora	3.518767	96.12
aurora	3.518798	96.12
aurora	3.520875	97.11
aurora	3.520915	97.11
aurora	3.522968	98.15
aurora	3.522998	98.14
aurora	3.527086	101.19
aurora	3.527117	101.18
aurora	3.528263	101.28
aurora	3.528289	101.27
aurora	3.530465	102.37
aurora	3.530494	102.36
aurora	3.533598	104.45
aurora	3.533628	104.45
aurora	3.535706	105.53
aurora	3.565839	135.63
aurora	3.565887	134.62
aurora	3.565907	134.61
aurora	3.565926	133.57
aurora	3.565970	133.57
aurora	3.566939	133.51
aurora	3.566970	133.50
aurora	3.567000	132.52
aurora	3.567029	132.51
aurora	3.567045	131.53
aurora	3.567090	131.54
aurora	3.567147	130.54
aurora	3.567203	130.57
aurora	3.567227	129.51
aurora	3.567265	129.53
aurora	3.567287	128.50
aurora	3.567324	128.50
aurora	3.580035	140.16
aurora	3.580068	140.16
aurora	3.580100	139.07
aurora	3.580118	139.05
aurora	3.580162	138.15
aurora	3.580196	138.14
aurora	3.580233	137.11
aurora	3.580272	137.12
aurora	3.581181	136.97
aurora	3.581219	136.99
aurora	3.581247	136.05
aurora	3.581274	136.05
aurora	3.582299	136.05
aurora	3.582327	136.04
aurora	3.599787	152.44
aurora	3.599819	152.45
aurora	3.600899	152.43
aurora	3.600927	152.42
aurora	3.601157	151.62
aurora	3.601182	151.60
aurora	3.605600	155.07
aurora	3.605632	155.07
aurora	3.605663	154.05
aurora	3.605711	154.06
aurora	3.605737	152.98
aurora	3.605779	152.99
aurora	3.606700	152.75
aurora	3.606729	152.73
aurora	3.608874	154.01
aurora	3.608901	154.02
aurora	3.610133	154.24
aurora	3.610160	154.24
aurora	3.612344	155.36
aurora	3.612372	155.37
aurora	3.614467	156.38
aurora	3.614498	156.37
aurora	3.615629	156.49
aurora	3.615658	156.48
aurora	3.617756	157.46
aurora	3.617784	157.45
