Scheme	Traffic	Time (s)	Throughput (Mbit/s)
aurora	ingress	4.35	5.35
aurora	ingress	4.50	5.49
aurora	ingress	4.65	5.49
aurora	ingress	4.80	4.98
aurora	ingress	4.95	4.98
aurora	ingress	5.10	4.98
aurora	ingress	5.25	5.49
aurora	ingress	5.40	5.49
aurora	ingress	5.55	5.41
aurora	ingress	5.70	5.92
aurora	ingress	5.85	6.00
aurora	ingress	6.00	5.75
aurora	ingress	6.15	5.75
aurora	ingress	6.30	4.98
aurora	ingress	6.45	4.92
aurora	ingress	6.60	4.90
aurora	ingress	6.75	4.47
aurora	ingress	6.90	4.39
aurora	ingress	7.05	4.39
aurora	ingress	7.20	4.58
aurora	ingress	7.35	4.47
aurora	ingress	7.50	4.22
aurora	ingress	7.65	4.39
aurora	ingress	7.80	4.50
aurora	ingress	7.95	4.47
aurora	ingress	8.10	4.39
aurora	ingress	8.25	4.30
aurora	ingress	8.40	4.50
aurora	ingress	8.55	4.56
aurora	ingress	8.70	4.39
aurora	ingress	8.85	4.39
aurora	ingress	9.00	4.42
aurora	ingress	9.15	4.39
aurora	ingress	9.30	4.47
aurora	ingress	9.45	4.39
aurora	ingress	9.60	4.66
aurora	ingress	9.75	4.99
aurora	ingress	9.90	4.81
aurora	ingress	10.05	4.90
aurora	ingress	10.20	4.73
aurora	ingress	10.35	4.90
aurora	ingress	10.50	4.84
aurora	ingress	10.65	5.07
aurora	ingress	10.80	4.73
aurora	ingress	10.95	4.98
aurora	ingress	11.10	4.73
aurora	ingress	11.25	4.90
aurora	ingress	11.40	4.58
aurora	ingress	11.55	4.30
aurora	ingress	11.70	4.30
aurora	ingress	11.85	4.30
aurora	ingress	12.00	4.16
aurora	ingress	12.15	3.79
aurora	ingress	12.30	3.71
aurora	ingress	12.45	3.48
aurora	ingress	12.60	3.20
aurora	ingress	12.75	3.23
aurora	ingress	12.90	3.37
aurora	ingress	13.05	3.45
aurora	ingress	13.20	3.31
aurora	ingress	13.35	3.28
aurora	ingress	13.50	3.65
aurora	ingress	13.65	3.79
aurora	ingress	13.80	3.74
aurora	ingress	13.95	3.79
aurora	ingress	14.10	3.71
aurora	ingress	14.25	3.23
aurora	ingress	14.40	3.20
aurora	ingress	14.55	3.23
aurora	ingress	14.70	3.20
aurora	ingress	14.85	3.14
aurora	ingress	15.00	3.20
aurora	ingress	15.15	3.14
aurora	ingress	15.30	3.11
aurora	ingress	15.45	3.03
aurora	ingress	15.60	3.14
aurora	ingress	15.75	3.45
aurora	ingress	15.90	3.48
aurora	ingress	16.05	3.37
aurora	ingress	16.20	3.40
aurora	ingress	16.35	3.11
aurora	ingress	16.50	3.14
aurora	ingress	16.65	3.03
aurora	ingress	16.80	3.11
aurora	ingress	16.95	3.31
aurora	ingress	17.10	3.37
aurora	ingress	17.25	3.48
aurora	ingress	17.40	3.45
aurora	ingress	17.55	3.40
aurora	ingress	17.70	3.45
aurora	ingress	17.85	3.45
aurora	ingress	18.00	3.40
aurora	ingress	18.15	3.20
aurora	ingress	18.30	3.31
aurora	ingress	18.45	3.28
aurora	ingress	18.60	3.23
aurora	ingress	18.75	3.11
aurora	ingress	18.90	3.06
aurora	ingress	19.05	3.11
aurora	ingress	19.20	3.11
aurora	ingress	19.35	3.14
aurora	ingress	19.50	3.28
aurora	ingress	19.65	3.31
aurora	ingress	19.80	2.51
aurora	ingress	19.95	2.38
aurora	ingress	20.10	2.21
aurora	ingress	20.25	2.26
aurora	ingress	20.40	2.21
aurora	ingress	20.55	2.26
aurora	ingress	20.70	2.21
aurora	ingress	20.85	2.29
aurora	ingress	21.00	2.26
aurora	ingress	21.15	2.29
aurora	ingress	21.30	2.18
aurora	ingress	21.45	2.29
aurora	ingress	21.60	2.21
aurora	ingress	21.75	2.26
aurora	ingress	21.90	2.55
aurora	ingress	22.05	3.11
aurora	ingress	22.20	3.31
aurora	ingress	22.35	3.29
aurora	ingress	22.50	3.40
aurora	ingress	22.65	3.28
aurora	ingress	22.80	3.37
aurora	ingress	22.95	3.91
aurora	ingress	23.10	3.79
aurora	ingress	23.25	3.65
aurora	ingress	23.40	3.88
aurora	ingress	23.55	3.79
aurora	ingress	23.70	4.22
aurora	ingress	23.85	4.33
aurora	ingress	24.00	4.22
aurora	ingress	24.15	4.30
aurora	ingress	24.30	4.25
aurora	ingress	24.45	4.30
aurora	ingress	24.60	4.05
aurora	ingress	24.75	4.39
aurora	ingress	24.90	4.16
aurora	ingress	25.05	4.30
aurora	ingress	25.20	4.22
aurora	ingress	25.35	4.22
