Scheme	Time (s)	Delay (ms)
bbr	3.178013	24.56
bbr	3.224215	24.46
bbr	3.224270	24.43
bbr	3.224347	24.48
bbr	3.224403	24.51
bbr	3.229456	29.55
bbr	3.231531	31.61
bbr	3.234729	34.80
bbr	3.236796	36.83
bbr	3.245914	45.94
bbr	3.247018	47.01
bbr	3.247070	47.04
bbr	3.286679	40.39
bbr	3.286752	40.40
bbr	3.286796	37.11
bbr	3.286832	37.12
bbr	3.286849	33.85
bbr	3.286871	33.80
bbr	3.286909	30.71
bbr	3.300129	43.90
bbr	3.304747	45.20
bbr	3.311076	51.46
bbr	3.313063	50.22
bbr	3.317304	54.40
bbr	3.321083	54.98
bbr	3.321133	55.00
bbr	3.323196	53.75
bbr	3.326464	56.96
bbr	3.329891	57.19
bbr	3.333285	60.55
bbr	3.334356	58.31
bbr	3.338526	62.45
bbr	3.342067	27.25
bbr	3.346314	31.45
bbr	3.346398	29.83
bbr	3.347410	27.62
bbr	3.351577	31.75
bbr	3.351610	28.49
bbr	3.353811	30.66
bbr	3.355024	28.56
bbr	3.359066	32.51
bbr	3.359094	29.39
bbr	3.360268	30.50
bbr	3.362368	29.36
bbr	3.363497	30.46
bbr	3.365538	29.30
bbr	3.366687	30.40
bbr	3.370091	33.05
bbr	3.371148	34.09
bbr	3.373975	34.46
bbr	3.377435	37.88
bbr	3.379537	36.73
bbr	3.381797	38.95
bbr	3.383092	36.92
bbr	3.386328	40.11
bbr	3.388473	39.02
bbr	3.391758	42.27
bbr	3.394999	42.41
bbr	3.397185	41.40
bbr	3.401088	45.28
bbr	3.402123	43.16
bbr	3.404220	45.23
bbr	3.408620	46.39
bbr	3.418059	55.76
bbr	3.418125	52.73
bbr	3.418173	52.74
bbr	3.418218	49.62
bbr	3.419183	50.51
bbr	3.423082	51.44
bbr	3.425211	53.53
bbr	3.427338	53.36
bbr	3.429402	55.39
bbr	3.433668	57.45
bbr	3.435766	59.51
bbr	3.441007	62.62
bbr	3.443767	65.32
bbr	3.447903	67.30
bbr	3.450015	69.37
bbr	3.452186	69.28
bbr	3.461705	78.73
bbr	3.479407	94.39
bbr	3.479470	94.41
bbr	3.486586	101.51
bbr	3.488739	101.42
bbr	3.490777	103.36
bbr	3.493960	104.53
bbr	3.511983	122.52
bbr	3.513064	121.56
bbr	3.513124	121.56
bbr	3.513170	119.58
bbr	3.513215	119.59
bbr	3.513264	117.53
bbr	3.515186	119.40
bbr	3.519961	122.18
bbr	3.521119	123.31
bbr	3.522215	122.39
bbr	3.526273	126.40
bbr	3.528536	126.59
bbr	3.530733	128.76
bbr	3.534004	129.97
bbr	3.536170	132.10
bbr	3.566806	113.42
bbr	3.566938	113.50
bbr	3.566962	113.50
bbr	3.567002	112.45
bbr	3.567023	112.44
bbr	3.567061	110.95
bbr	3.567083	110.93
bbr	3.567124	109.42
bbr	3.567143	109.39
bbr	3.579831	120.54
bbr	3.579867	120.53
bbr	3.579898	119.03
bbr	3.579908	119.01
bbr	3.581915	119.49
bbr	3.581983	119.52
bbr	3.583044	119.05
bbr	3.599259	135.24
bbr	3.599294	133.72
bbr	3.599325	133.73
bbr	3.601439	134.29
bbr	3.607146	139.97
bbr	3.607210	138.49
bbr	3.607254	138.51
bbr	3.607297	137.00
bbr	3.608391	138.07
bbr	3.611457	139.53
bbr	3.612613	139.09
bbr	3.614938	141.37
bbr	3.616088	141.05
bbr	3.618156	143.09
bbr	3.620285	145.20
bbr	3.623434	148.34
bbr	3.624601	147.97
bbr	3.628097	151.43
bbr	3.629284	151.04
bbr	3.630364	152.09
bbr	3.632240	152.46
bbr	3.642454	162.65
bbr	3.642536	161.05
bbr	3.642563	161.02
bbr	3.642605	159.68
bbr	3.642628	159.67
bbr	3.643621	159.11
bbr	3.645681	161.14
bbr	3.646771	160.60
bbr	3.649476	163.28
bbr	3.649619	149.12
bbr	3.651639	151.09
bbr	3.652492	151.16
bbr	3.653567	144.98
bbr	3.656834	144.02
bbr	3.667281	154.44
bbr	3.667367	151.68
bbr	3.667397	133.42
bbr	3.672577	137.24
bbr	3.672614	137.15
bbr	3.672627	136.42
bbr	3.672636	134.86
bbr	3.681594	143.79
bbr	3.690368	148.77
bbr	3.690459	148.82
bbr	3.690500	146.69
bbr	3.690517	146.69
bbr	3.690546	140.70
bbr	3.690601	140.73
bbr	3.690624	134.58
bbr	3.691390	135.32
bbr	3.691419	103.96
bbr	3.694664	107.18
bbr	3.694715	106.00
bbr	3.696948	108.18
bbr	3.699120	110.32
bbr	3.700248	110.38
bbr	3.701432	111.52
bbr	3.703485	112.05
bbr	3.705768	114.30
bbr	3.708380	107.69
bbr	3.709601	108.87
bbr	3.711621	110.09
bbr	3.713458	111.90
bbr	3.715541	103.67
bbr	3.716697	104.79
bbr	3.727529	114.81
bbr	3.727563	114.81
bbr	3.727573	102.72
bbr	3.727582	102.68
bbr	3.728680	103.01
bbr	3.730860	105.17
bbr	3.732964	101.94
bbr	3.744091	113.01
bbr	3.744163	113.07
bbr	3.744202	109.14
bbr	3.744249	109.15
bbr	3.744290	106.28
bbr	3.747303	109.27
bbr	3.747396	106.15
bbr	3.764366	123.10
bbr	3.764467	118.49
bbr	3.764503	118.49
bbr	3.764550	111.40
bbr	3.765525	112.32
bbr	3.765601	111.63
bbr	3.765648	111.65
bbr	3.765693	99.68
bbr	3.765735	99.68
bbr	3.765772	98.88
bbr	3.766601	99.67
bbr	3.766663	97.90
bbr	3.768708	99.92
bbr	3.770895	100.92
bbr	3.771352	101.35
bbr	3.772580	100.77
bbr	3.783122	111.29
bbr	3.783203	108.03
bbr	3.783215	107.98
bbr	3.791595	115.54
bbr	3.797908	121.82
bbr	3.799185	110.05
bbr	3.799338	110.15
bbr	3.799407	109.33
bbr	3.801730	111.62
bbr	3.803883	109.00
bbr	3.806117	111.18
bbr	3.806247	110.52
bbr	3.807056	111.29
bbr	3.809321	97.18
bbr	3.811512	99.32
bbr	3.812697	99.72
bbr	3.813937	100.93
bbr	3.814177	99.58
bbr	3.817523	102.90
bbr	3.817577	101.59
bbr	3.819617	103.60
bbr	3.820814	103.43
bbr	3.822019	104.60
bbr	3.823167	104.30
bbr	3.827199	108.30
bbr	3.827277	107.00
bbr	3.828700	108.39
bbr	3.830985	109.31
bbr	3.831942	110.25
bbr	3.832326	109.17
bbr	3.833462	110.27
bbr	3.834546	110.07
bbr	3.836668	112.16
bbr	3.837729	111.82
bbr	3.840955	115.01
bbr	3.841041	113.73
bbr	3.842091	114.76
bbr	3.843264	111.32
bbr	3.846591	114.62
bbr	3.847593	112.19
bbr	3.849565	114.14
bbr	3.851206	113.77
bbr	3.852326	114.87
bbr	3.855065	105.35
bbr	3.864784	114.98
bbr	3.869712	119.21
bbr	3.869772	119.25
bbr	3.869802	116.04
bbr	3.869828	116.05
bbr	3.870871	103.10
bbr	3.873088	105.26
bbr	3.875814	107.28
bbr	3.878936	110.37
bbr	3.881116	111.14
bbr	3.881175	111.14
bbr	3.885237	113.86
bbr	3.887821	116.41
bbr	3.889110	97.77
bbr	3.890097	98.69
bbr	3.893396	101.30
bbr	3.894422	100.82
bbr	3.896568	102.90
bbr	3.905573	110.62
bbr	3.905654	110.68
bbr	3.905677	109.24
bbr	3.906662	110.15
bbr	3.907769	109.97
bbr	3.910465	112.62
bbr	3.912502	113.26
bbr	3.912577	113.26
bbr	3.914630	100.57
bbr	3.916770	102.68
bbr	3.919825	105.02
bbr	3.920906	106.07
bbr	3.922196	105.96
bbr	3.924774	108.51
bbr	3.925699	108.06
bbr	3.926815	109.16
bbr	3.929849	110.28
bbr	3.929931	108.04
bbr	3.931979	110.05
bbr	3.933118	108.47
bbr	3.942515	117.77
bbr	3.942582	115.14
bbr	3.942599	115.12
bbr	3.942624	114.01
bbr	3.942638	114.00
bbr	3.942660	110.52
bbr	3.943575	111.41
bbr	3.945932	109.88
bbr	3.947146	111.05
bbr	3.948902	109.41
bbr	3.949992	110.45
bbr	3.952088	109.79
bbr	3.953218	110.85
bbr	3.953297	110.23
bbr	3.954314	111.19
bbr	3.957648	113.23
bbr	3.957730	113.28
bbr	3.957760	108.51
bbr	3.963213	113.86
bbr	3.963246	113.29
bbr	3.963286	113.30
bbr	3.964373	111.87
bbr	3.967624	115.10
bbr	3.967660	113.90
bbr	3.969718	115.85
bbr	3.972185	117.16
bbr	3.972256	117.20
bbr	3.974467	118.23
bbr	3.975695	116.41
bbr	3.977454	118.16
bbr	3.978605	115.48
bbr	3.980953	116.77
bbr	3.982209	118.01
bbr	3.983287	117.96
bbr	3.985521	120.17
bbr	3.986751	118.38
bbr	3.988786	120.39
bbr	3.990074	119.39
bbr	3.991157	120.44
bbr	3.992387	119.13
bbr	3.994731	118.05
bbr	3.995668	118.97
bbr	3.997770	111.20
bbr	3.999915	103.07
bbr	4.001008	104.09
bbr	4.002297	105.36
bbr	4.002415	104.76
bbr	4.004439	106.73
bbr	4.005514	106.52
bbr	4.006659	107.62
bbr	4.007774	105.73
bbr	4.010955	107.78
bbr	4.011019	107.83
bbr	4.011328	104.42
bbr	4.022626	112.55
bbr	4.022666	107.83
bbr	4.022713	107.15
bbr	4.022733	107.12
bbr	4.022765	105.81
bbr	4.022783	96.04
bbr	4.027771	100.99
bbr	4.027812	100.41
bbr	4.027859	100.42
bbr	4.027880	91.47
bbr	4.027934	91.47
bbr	4.031480	94.37
bbr	4.033574	96.44
bbr	4.034699	96.27
bbr	4.048167	109.67
bbr	4.048205	102.51
bbr	4.048260	102.50
bbr	4.048290	101.86
bbr	4.048329	101.84
bbr	4.049507	80.67
bbr	4.053703	84.82
bbr	4.054739	85.23
bbr	4.057001	87.47
bbr	4.058565	87.67
bbr	4.059265	88.28
bbr	4.062111	90.03
