Scheme	Time (s)	Delay (ms)
bbr	3.182496	21.49
bbr	3.229707	24.71
bbr	3.231796	26.66
bbr	3.233880	28.71
bbr	3.237038	31.85
bbr	3.247090	41.89
bbr	3.247152	41.93
bbr	3.247183	41.94
bbr	3.247210	41.95
bbr	3.247235	41.96
bbr	3.247261	41.97
bbr	3.248193	42.88
bbr	3.285498	31.84
bbr	3.285562	31.88
bbr	3.285635	28.83
bbr	3.285668	28.84
bbr	3.285698	25.73
bbr	3.285724	25.72
bbr	3.300908	31.95
bbr	3.304174	35.16
bbr	3.310637	40.08
bbr	3.313786	43.20
bbr	3.316976	43.30
bbr	3.319526	45.82
bbr	3.321596	44.78
bbr	3.324758	47.90
bbr	3.326681	46.70
bbr	3.329938	49.92
bbr	3.332858	49.78
bbr	3.334723	51.59
bbr	3.338870	52.70
bbr	3.342004	55.81
bbr	3.346229	31.62
bbr	3.346260	31.60
bbr	3.347391	31.20
bbr	3.351057	31.80
bbr	3.351120	31.82
bbr	3.353210	30.88
bbr	3.354298	31.90
bbr	3.359168	33.80
bbr	3.359225	33.83
bbr	3.360291	31.86
bbr	3.361364	32.88
bbr	3.363309	31.83
bbr	3.365423	33.92
bbr	3.366510	31.98
bbr	3.370034	35.44
bbr	3.372087	37.48
bbr	3.373213	38.59
bbr	3.377375	39.79
bbr	3.379457	41.84
bbr	3.381827	41.16
bbr	3.382087	41.40
bbr	3.387390	43.66
bbr	3.388537	44.78
bbr	3.392717	45.96
bbr	3.394828	48.05
bbr	3.396938	47.13
bbr	3.400769	47.84
bbr	3.402879	49.91
bbr	3.405002	49.06
bbr	3.409099	53.13
bbr	3.417540	58.56
bbr	3.417597	58.58
bbr	3.417637	55.60
bbr	3.417669	53.89
bbr	3.419631	55.82
bbr	3.421646	52.88
bbr	3.425734	56.94
bbr	3.427718	57.88
bbr	3.430925	61.05
bbr	3.434056	61.64
bbr	3.435166	62.72
bbr	3.440261	66.34
bbr	3.442106	68.16
bbr	3.447186	69.69
bbr	3.449300	71.78
bbr	3.451398	72.88
bbr	3.462708	84.17
bbr	3.479605	97.65
bbr	3.479666	97.67
bbr	3.486763	103.74
bbr	3.488847	105.80
bbr	3.490943	105.97
bbr	3.492974	107.97
bbr	3.511830	125.13
bbr	3.512929	126.20
bbr	3.512958	124.48
bbr	3.512969	124.46
bbr	3.512978	122.81
bbr	3.512989	122.80
bbr	3.515978	124.14
bbr	3.519092	127.21
bbr	3.520160	126.61
bbr	3.522357	128.77
bbr	3.526439	131.16
bbr	3.528566	133.25
bbr	3.530643	133.72
bbr	3.533820	136.86
bbr	3.535954	137.46
bbr	3.565226	166.69
bbr	3.565279	111.55
bbr	3.565291	111.49
bbr	3.566370	111.79
bbr	3.566405	111.79
bbr	3.566416	110.23
bbr	3.566425	110.20
bbr	3.566434	108.60
bbr	3.566443	108.58
bbr	3.579318	119.85
bbr	3.579351	119.84
bbr	3.579363	118.29
bbr	3.579372	118.26
bbr	3.582433	119.78
bbr	3.582465	119.79
bbr	3.583557	119.29
bbr	3.599368	135.06
bbr	3.599414	133.39
bbr	3.599442	133.38
bbr	3.601473	133.95
bbr	3.605180	137.63
bbr	3.605228	136.10
bbr	3.605249	136.09
bbr	3.606310	135.48
bbr	3.609444	138.57
bbr	3.610537	138.17
bbr	3.612311	139.91
bbr	3.615456	141.41
bbr	3.616561	142.47
bbr	3.617683	142.04
bbr	3.620801	145.11
bbr	3.624643	148.94
bbr	3.625216	149.50
bbr	3.626304	149.08
bbr	3.629587	152.32
bbr	3.630782	151.89
bbr	3.632246	153.32
bbr	3.641712	161.18
bbr	3.641832	161.26
bbr	3.641877	141.49
bbr	3.641894	141.48
bbr	3.641951	133.44
bbr	3.643661	135.12
bbr	3.645701	133.17
bbr	3.646826	134.27
bbr	3.648718	114.69
bbr	3.649857	115.80
bbr	3.651996	116.85
bbr	3.652332	117.16
bbr	3.653421	116.94
bbr	3.656569	120.06
bbr	3.667501	129.41
bbr	3.667592	129.48
bbr	3.667615	126.39
bbr	3.672184	130.94
bbr	3.672223	128.84
bbr	3.672276	128.87
bbr	3.672295	122.81
bbr	3.682027	132.52
bbr	3.690848	136.28
bbr	3.690917	136.32
bbr	3.690938	104.01
bbr	3.690955	103.98
bbr	3.690969	103.15
bbr	3.691014	103.16
bbr	3.691052	101.67
bbr	3.691875	102.46
bbr	3.691949	100.95
bbr	3.693997	102.97
bbr	3.695130	102.47
bbr	3.696350	103.64
bbr	3.698444	97.59
bbr	3.700565	99.66
bbr	3.701755	100.03
bbr	3.704804	92.67
bbr	3.705965	93.78
bbr	3.708625	84.37
bbr	3.709835	85.51
bbr	3.711956	86.87
bbr	3.713481	88.36
bbr	3.715660	88.95
bbr	3.716704	89.97
bbr	3.726375	98.03
bbr	3.726423	96.48
bbr	3.726459	96.47
bbr	3.726486	94.94
bbr	3.729123	97.54
bbr	3.730203	95.00
bbr	3.732287	97.06
bbr	3.742574	105.22
bbr	3.742658	105.28
bbr	3.742704	102.30
bbr	3.742727	97.39
bbr	3.744553	99.19
bbr	3.747918	99.81
bbr	3.748053	94.94
bbr	3.764999	111.85
bbr	3.765055	102.19
bbr	3.765095	102.18
bbr	3.765114	101.39
bbr	3.765134	101.36
bbr	3.765159	99.13
bbr	3.765183	99.13
bbr	3.765206	95.13
bbr	3.765230	95.11
bbr	3.765254	94.36
bbr	3.766144	95.22
bbr	3.766234	91.63
bbr	3.768220	93.55
bbr	3.770479	95.05
bbr	3.771630	96.18
bbr	3.773933	85.16
bbr	3.782354	93.54
bbr	3.782410	92.82
bbr	3.782435	92.80
bbr	3.791187	96.92
bbr	3.798177	103.87
bbr	3.798290	103.15
bbr	3.798386	103.20
bbr	3.798428	86.13
bbr	3.801040	88.70
bbr	3.802255	89.10
bbr	3.804458	91.28
bbr	3.805582	90.86
bbr	3.807580	92.83
bbr	3.810870	94.63
bbr	3.811978	95.71
bbr	3.813180	95.39
bbr	3.813254	95.43
bbr	3.814266	94.90
bbr	3.818323	98.93
bbr	3.818421	97.50
bbr	3.819410	98.45
bbr	3.822003	99.55
bbr	3.822307	99.82
bbr	3.823514	99.44
bbr	3.826704	102.57
bbr	3.826783	101.25
bbr	3.828317	102.75
bbr	3.830494	102.71
bbr	3.831614	103.81
bbr	3.833031	101.46
bbr	3.833093	101.49
bbr	3.834119	98.35
bbr	3.837228	101.43
bbr	3.837294	99.36
bbr	3.840349	102.39
bbr	3.840423	91.05
bbr	3.841410	91.96
bbr	3.842500	92.28
bbr	3.845717	95.47
bbr	3.847785	96.07
bbr	3.849616	97.80
bbr	3.851787	98.15
bbr	3.853814	100.15
bbr	3.855459	87.61
bbr	3.864840	96.92
bbr	3.869075	100.35
bbr	3.869146	100.39
bbr	3.869166	98.58
bbr	3.869202	98.56
bbr	3.870141	78.95
bbr	3.873351	82.09
bbr	3.875504	83.48
bbr	3.878505	86.44
bbr	3.880629	87.08
bbr	3.881712	88.12
bbr	3.885246	90.09
bbr	3.887447	92.24
bbr	3.889574	92.92
bbr	3.890166	93.49
bbr	3.892282	94.02
bbr	3.894441	96.13
bbr	3.896542	96.81
bbr	3.905328	105.56
bbr	3.905372	92.08
bbr	3.905423	92.08
bbr	3.906406	93.04
bbr	3.907510	93.37
bbr	3.910689	96.51
bbr	3.911775	96.06
bbr	3.913043	97.27
bbr	3.914149	94.47
bbr	3.916274	95.71
bbr	3.918372	97.74
bbr	3.921482	99.29
bbr	3.923032	100.82
bbr	3.924124	99.76
bbr	3.925217	100.83
bbr	3.926360	99.27
bbr	3.928433	101.29
bbr	3.929549	100.37
bbr	3.931684	102.48
bbr	3.933923	102.14
bbr	3.941302	105.92
